mese,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,nome_partenza,nome_arrivo
2026-01,EN,S03015,S08217,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,TARVISIO BOSCOVERDE,ROMA TIBURTINA
2026-01,EN,S05043,S08217,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-7,-7.0,-7.0,-7.0,-7.0,BOLOGNA CENTRALE,ROMA TIBURTINA
2026-01,EN,S08217,S05043,1,1,0,0,0,0,0,1,0,1,1,1,1,0,37,0,37,37.0,37.0,37.0,37.0,ROMA TIBURTINA,BOLOGNA CENTRALE
2026-01,FA,S04700,S08409,4,4,0,0,0,0,2,2,0,2,1,0,0,0,23,0,23,5.75,4.5,10.600000000000001,11.799999999999997,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2026-01,FA,S05811,S08409,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0.0,0.0,0.8,0.8999999999999999,RAVENNA,ROMA TERMINI
2026-01,FA,S08409,S04700,4,4,0,0,0,0,1,1,2,1,1,1,0,0,24,18,6,1.5,-1.5,16.800000000000004,20.39999999999999,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2026-01,FA,S08409,S05811,2,2,0,0,0,0,0,1,1,1,1,1,0,0,17,8,9,4.5,4.5,14.5,15.749999999999998,ROMA TERMINI,RAVENNA
2026-01,FA,S08409,S09311,2,2,0,0,0,0,0,1,1,1,1,1,1,0,49,3,46,23.0,23.0,43.8,46.4,ROMA TERMINI,BENEVENTO
2026-01,FA,S08409,S11119,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1.0,1.0,1.8,1.9,ROMA TERMINI,BARI CENTRALE
2026-01,FA,S08409,S11145,4,4,0,0,0,0,1,0,3,0,0,0,0,0,2,21,-19,-4.75,-6.0,0.20000000000000107,1.0999999999999979,ROMA TERMINI,LECCE
2026-01,FA,S08409,S11781,4,4,0,0,0,0,0,1,3,1,1,1,0,0,18,17,1,0.25,-4.0,11.400000000000004,14.699999999999992,ROMA TERMINI,REGGIO DI CALABRIA CENTRALE
2026-01,FA,S09311,S08409,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1.0,1.0,1.8,1.9,BENEVENTO,ROMA TERMINI
2026-01,FA,S11119,S08409,2,2,0,0,0,0,0,2,0,2,0,0,0,0,15,0,15,7.5,7.5,8.7,8.85,BARI CENTRALE,ROMA TERMINI
2026-01,FA,S11145,S08409,4,4,0,0,0,0,2,2,0,2,0,0,0,0,15,0,15,3.75,3.0,7.1000000000000005,7.549999999999999,LECCE,ROMA TERMINI
2026-01,FA,S11781,S08409,4,4,0,0,0,0,1,3,0,3,2,1,0,0,40,0,40,10.0,8.0,18.0,19.499999999999996,REGGIO DI CALABRIA CENTRALE,ROMA TERMINI
2026-01,FB,S01700,S08409,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,4,-4,-2.0,-2.0,-0.3999999999999999,-0.20000000000000018,MILANO CENTRALE,ROMA TERMINI
2026-01,FB,S04700,S08409,6,6,0,0,0,0,3,2,1,2,0,0,0,0,14,5,9,1.5,2.0,5.0,5.0,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2026-01,FB,S08409,S01700,2,2,0,0,0,0,0,2,0,2,2,1,0,0,26,0,26,13.0,13.0,15.4,15.7,ROMA TERMINI,MILANO CENTRALE
2026-01,FB,S08409,S04700,6,6,0,0,0,0,1,2,3,2,1,1,0,0,27,4,23,3.8333333333333335,1.0,12.0,13.5,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2026-01,FR,S00219,S02593,6,6,0,0,0,0,0,6,0,6,3,2,0,0,73,0,73,12.166666666666666,9.5,22.0,23.5,TORINO PORTA NUOVA,VENEZIA S.LUCIA
2026-01,FR,S00219,S03317,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,TORINO PORTA NUOVA,TRIESTE CENTRALE
2026-01,FR,S00219,S07004,2,2,0,0,0,0,0,2,0,2,2,2,1,0,64,0,64,32.0,32.0,42.4,43.699999999999996,TORINO PORTA NUOVA,PERUGIA
2026-01,FR,S00219,S08409,15,15,0,0,0,0,5,8,2,8,4,3,3,1,217,5,212,14.133333333333333,5.0,45.599999999999994,56.99999999999997,TORINO PORTA NUOVA,ROMA TERMINI
2026-01,FR,S00219,S09218,12,12,0,0,0,0,3,7,2,7,4,3,1,0,105,5,100,8.333333333333334,5.0,18.8,25.29999999999999,TORINO PORTA NUOVA,NAPOLI CENTRALE
2026-01,FR,S00219,S09818,3,3,0,0,0,0,1,2,0,2,0,0,0,0,17,0,17,5.666666666666667,5.0,8.2,8.6,TORINO PORTA NUOVA,SALERNO
2026-01,FR,S00219,S11145,2,2,0,0,0,0,1,1,0,1,1,1,0,0,27,0,27,13.5,13.5,22.7,23.849999999999998,TORINO PORTA NUOVA,LECCE
2026-01,FR,S00219,S11781,4,4,0,0,0,0,1,2,1,2,1,1,0,0,36,4,32,8.0,6.0,19.200000000000003,21.599999999999994,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2026-01,FR,S01700,S00219,2,2,0,0,0,0,1,1,0,1,1,1,0,0,27,0,27,13.5,13.5,21.1,22.05,MILANO CENTRALE,TORINO PORTA NUOVA
2026-01,FR,S01700,S02026,2,2,0,0,0,0,1,0,1,0,0,0,0,0,3,1,2,1.0,1.0,2.6,2.8,MILANO CENTRALE,BOLZANO
2026-01,FR,S01700,S02593,24,24,0,0,0,0,14,6,4,6,2,2,0,0,110,9,101,4.208333333333333,2.5,9.0,20.89999999999997,MILANO CENTRALE,VENEZIA S.LUCIA
2026-01,FR,S01700,S03026,4,4,0,0,0,0,2,1,1,1,1,1,1,1,114,1,113,28.25,3.0,76.80000000000001,92.39999999999996,MILANO CENTRALE,UDINE
2026-01,FR,S01700,S03317,6,6,0,0,0,0,1,0,5,0,0,0,0,0,3,16,-13,-2.1666666666666665,-1.5,1.0,2.0,MILANO CENTRALE,TRIESTE CENTRALE
2026-01,FR,S01700,S07113,3,3,0,0,0,0,1,1,1,1,1,1,1,1,65,8,57,19.0,0.0,52.0,58.49999999999999,MILANO CENTRALE,ANCONA
2026-01,FR,S01700,S07810,3,3,0,0,0,0,1,2,0,2,1,1,0,0,23,0,23,7.666666666666667,7.0,14.200000000000001,15.1,MILANO CENTRALE,PESCARA
2026-01,FR,S01700,S08409,14,14,0,0,0,0,4,7,3,7,3,3,1,0,131,19,112,8.0,4.5,22.60000000000001,35.499999999999986,MILANO CENTRALE,ROMA TERMINI
2026-01,FR,S01700,S09218,27,27,0,0,0,0,8,12,7,12,8,5,3,1,338,17,321,11.88888888888889,4.0,24.400000000000045,51.69999999999999,MILANO CENTRALE,NAPOLI CENTRALE
2026-01,FR,S01700,S09818,10,10,0,0,0,0,0,3,7,3,3,3,3,1,209,43,166,16.6,-2.5,57.59999999999997,91.79999999999993,MILANO CENTRALE,SALERNO
2026-01,FR,S01700,S09823,2,2,0,0,0,0,0,2,0,2,1,1,0,0,23,0,23,11.5,11.5,15.1,15.549999999999999,MILANO CENTRALE,BATTIPAGLIA
2026-01,FR,S01700,S11100,2,2,0,0,0,0,0,1,1,1,1,1,1,0,44,7,37,18.5,18.5,38.9,41.449999999999996,MILANO CENTRALE,FOGGIA
2026-01,FR,S01700,S11119,7,7,0,0,0,0,0,7,0,7,5,4,2,0,155,0,155,22.142857142857142,24.0,39.2,43.099999999999994,MILANO CENTRALE,BARI CENTRALE
2026-01,FR,S01700,S11145,8,8,0,0,0,0,5,3,0,3,2,1,0,0,55,0,55,6.875,3.0,16.9,21.449999999999992,MILANO CENTRALE,LECCE
2026-01,FR,S01700,S11465,1,1,0,0,0,0,0,1,0,1,1,1,1,1,108,0,108,108.0,108.0,108.0,108.0,MILANO CENTRALE,TARANTO
2026-01,FR,S01700,S11781,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,41,-41,-10.25,-11.5,-6.099999999999999,-5.0500000000000025,MILANO CENTRALE,REGGIO DI CALABRIA CENTRALE
2026-01,FR,S01717,S08409,4,4,0,0,0,0,2,1,1,1,1,1,0,0,24,2,22,5.5,1.0,15.700000000000003,18.849999999999994,BRESCIA,ROMA TERMINI
2026-01,FR,S01717,S09218,2,2,0,0,0,0,1,1,0,1,1,1,0,0,21,0,21,10.5,10.5,17.3,18.15,BRESCIA,NAPOLI CENTRALE
2026-01,FR,S02026,S01700,2,2,0,0,0,0,0,2,0,2,0,0,0,0,11,0,11,5.5,5.5,5.9,5.95,BOLZANO,MILANO CENTRALE
2026-01,FR,S02026,S08409,8,8,0,0,0,0,3,3,2,3,2,0,0,0,33,13,20,2.5,2.0,10.6,11.299999999999999,BOLZANO,ROMA TERMINI
2026-01,FR,S02026,S09218,2,2,0,0,0,0,0,2,0,2,1,1,1,1,87,0,87,43.5,43.5,71.9,75.45,BOLZANO,NAPOLI CENTRALE
2026-01,FR,S02026,S11811,2,2,0,0,0,0,0,2,0,2,2,1,0,0,37,0,37,18.5,18.5,22.1,22.55,BOLZANO,SIBARI
2026-01,FR,S02336,S08409,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-1,-0.5,-0.5,-0.09999999999999998,-0.050000000000000044,MANTOVA,ROMA TERMINI
2026-01,FR,S02593,S00219,6,6,0,0,0,0,0,6,0,6,5,1,1,0,87,0,87,14.5,11.0,23.5,29.75,VENEZIA S.LUCIA,TORINO PORTA NUOVA
2026-01,FR,S02593,S01700,24,24,0,0,0,0,7,17,0,17,7,3,0,0,182,0,182,7.583333333333333,6.5,14.399999999999999,16.699999999999996,VENEZIA S.LUCIA,MILANO CENTRALE
2026-01,FR,S02593,S04702,2,2,0,0,0,0,0,2,0,2,2,2,1,0,57,0,57,28.5,28.5,32.1,32.55,VENEZIA S.LUCIA,GENOVA BRIGNOLE
2026-01,FR,S02593,S08409,10,10,0,0,0,0,1,3,6,3,2,1,0,0,41,35,6,0.6,-1.5,12.999999999999996,17.49999999999999,VENEZIA S.LUCIA,ROMA TERMINI
2026-01,FR,S02593,S09218,14,14,0,0,0,0,3,8,3,8,6,6,2,1,216,4,212,15.142857142857142,7.0,31.900000000000006,45.89999999999999,VENEZIA S.LUCIA,NAPOLI CENTRALE
2026-01,FR,S02593,S09818,2,2,0,0,0,0,0,1,1,1,1,1,1,1,67,8,59,29.5,29.5,59.5,63.25,VENEZIA S.LUCIA,SALERNO
2026-01,FR,S02593,S11145,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,-4,-2.0,-2.0,-2.0,-2.0,VENEZIA S.LUCIA,LECCE
2026-01,FR,S02593,S11781,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,19,-19,-9.5,-9.5,-8.3,-8.15,VENEZIA S.LUCIA,REGGIO DI CALABRIA CENTRALE
2026-01,FR,S03026,S01700,4,4,0,0,0,0,2,2,0,2,1,0,0,0,23,0,23,5.75,5.0,9.8,10.399999999999999,UDINE,MILANO CENTRALE
2026-01,FR,S03304,S09218,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,-5,-2.5,-2.5,-2.1,-2.05,GORIZIA CENTRALE,NAPOLI CENTRALE
2026-01,FR,S03317,S00219,2,2,0,0,0,0,0,2,0,2,2,0,0,0,22,0,22,11.0,11.0,11.8,11.9,TRIESTE CENTRALE,TORINO PORTA NUOVA
2026-01,FR,S03317,S01700,6,6,0,0,0,0,2,4,0,4,2,2,1,0,74,0,74,12.333333333333334,6.5,26.5,30.25,TRIESTE CENTRALE,MILANO CENTRALE
2026-01,FR,S03317,S08409,2,2,0,0,0,0,0,1,1,1,1,1,0,0,23,2,21,10.5,10.5,20.5,21.75,TRIESTE CENTRALE,ROMA TERMINI
2026-01,FR,S04702,S02593,2,2,0,0,0,0,0,2,0,2,2,2,1,0,57,0,57,28.5,28.5,30.5,30.75,GENOVA BRIGNOLE,VENEZIA S.LUCIA
2026-01,FR,S06421,S08409,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,6,-5,-2.5,-2.5,0.30000000000000016,0.6499999999999997,FIRENZE SANTA MARIA NOVELLA,ROMA TERMINI
2026-01,FR,S06421,S09218,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1.0,1.0,1.0,1.0,FIRENZE SANTA MARIA NOVELLA,NAPOLI CENTRALE
2026-01,FR,S07004,S00219,2,2,0,0,0,0,0,2,0,2,1,0,0,0,20,0,20,10.0,10.0,12.4,12.7,PERUGIA,TORINO PORTA NUOVA
2026-01,FR,S07113,S01700,4,4,0,0,0,0,1,2,1,2,2,1,1,0,46,2,44,11.0,7.5,25.6,28.299999999999994,ANCONA,MILANO CENTRALE
2026-01,FR,S07810,S01700,4,4,0,0,0,0,0,4,0,4,2,1,0,0,50,0,50,12.5,9.5,21.400000000000002,23.199999999999996,PESCARA,MILANO CENTRALE
2026-01,FR,S08409,S00219,10,10,0,0,0,0,3,3,4,3,3,2,2,0,91,11,80,8.0,1.0,32.3,38.149999999999984,ROMA TERMINI,TORINO PORTA NUOVA
2026-01,FR,S08409,S01700,20,20,0,0,0,0,7,6,7,6,5,4,1,0,139,35,104,5.2,1.0,19.400000000000006,24.600000000000023,ROMA TERMINI,MILANO CENTRALE
2026-01,FR,S08409,S01717,4,4,0,0,0,0,2,2,0,2,1,0,0,0,20,0,20,5.0,3.0,10.600000000000001,11.799999999999997,ROMA TERMINI,BRESCIA
2026-01,FR,S08409,S02026,8,8,0,0,0,0,4,2,2,2,1,1,1,1,164,7,157,19.625,1.5,49.799999999999976,100.89999999999992,ROMA TERMINI,BOLZANO
2026-01,FR,S08409,S02336,2,2,0,0,0,0,0,2,0,2,2,2,0,0,40,0,40,20.0,20.0,21.6,21.8,ROMA TERMINI,MANTOVA
2026-01,FR,S08409,S02593,9,9,0,0,0,0,6,1,2,1,0,0,0,0,16,4,12,1.3333333333333333,1.0,4.2,4.6,ROMA TERMINI,VENEZIA S.LUCIA
2026-01,FR,S08409,S03317,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,2.0,2.0,2.8,2.9,ROMA TERMINI,TRIESTE CENTRALE
2026-01,FR,S08409,S09218,8,8,0,0,0,0,2,1,5,1,0,0,0,0,13,22,-9,-1.125,-3.0,4.8999999999999995,5.949999999999998,ROMA TERMINI,NAPOLI CENTRALE
2026-01,FR,S08409,S11145,2,2,0,0,0,0,1,1,0,1,0,0,0,0,5,0,5,2.5,2.5,4.5,4.75,ROMA TERMINI,LECCE
2026-01,FR,S09218,S00219,9,9,0,0,0,0,0,9,0,9,8,8,1,1,203,0,203,22.555555555555557,20.0,33.60000000000001,46.79999999999999,NAPOLI CENTRALE,TORINO PORTA NUOVA
2026-01,FR,S09218,S01700,36,36,0,0,0,0,10,17,9,17,11,6,3,2,338,25,313,8.694444444444445,3.0,18.5,38.25,NAPOLI CENTRALE,MILANO CENTRALE
2026-01,FR,S09218,S01717,2,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0,5,2.5,2.5,3.7,3.8499999999999996,NAPOLI CENTRALE,BRESCIA
2026-01,FR,S09218,S02026,2,2,0,0,0,0,0,2,0,2,1,1,0,0,34,0,34,17.0,17.0,25.8,26.9,NAPOLI CENTRALE,BOLZANO
2026-01,FR,S09218,S02593,12,12,0,0,0,0,3,9,0,9,6,2,0,0,118,0,118,9.833333333333334,9.0,16.6,22.39999999999999,NAPOLI CENTRALE,VENEZIA S.LUCIA
2026-01,FR,S09218,S03304,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,NAPOLI CENTRALE,GORIZIA CENTRALE
2026-01,FR,S09218,S06421,4,4,0,0,0,0,0,2,2,2,2,2,0,0,37,10,27,6.75,7.0,19.1,19.549999999999997,NAPOLI CENTRALE,FIRENZE SANTA MARIA NOVELLA
2026-01,FR,S09218,S08409,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,5,-5,-2.5,-2.5,-0.4999999999999999,-0.2500000000000002,NAPOLI CENTRALE,ROMA TERMINI
2026-01,FR,S09818,S00219,3,3,0,0,0,0,0,3,0,3,1,0,0,0,24,0,24,8.0,6.0,10.8,11.399999999999999,SALERNO,TORINO PORTA NUOVA
2026-01,FR,S09818,S01700,6,6,0,0,0,0,1,3,2,3,3,2,1,0,88,4,84,14.0,6.0,38.0,47.0,SALERNO,MILANO CENTRALE
2026-01,FR,S09818,S02593,4,4,0,0,0,0,3,0,1,0,0,0,0,0,5,4,1,0.25,0.5,3.1000000000000005,3.549999999999999,SALERNO,VENEZIA S.LUCIA
2026-01,FR,S09823,S00219,2,2,0,0,0,0,0,2,0,2,1,1,0,0,27,0,27,13.5,13.5,17.1,17.55,BATTIPAGLIA,TORINO PORTA NUOVA
2026-01,FR,S11100,S01700,2,2,0,0,0,0,0,2,0,2,1,0,0,0,17,0,17,8.5,8.5,9.7,9.85,FOGGIA,MILANO CENTRALE
2026-01,FR,S11119,S01700,8,8,0,0,0,0,3,4,1,4,1,0,0,0,44,4,40,5.0,5.5,9.899999999999999,10.95,BARI CENTRALE,MILANO CENTRALE
2026-01,FR,S11145,S00219,2,2,0,0,0,0,1,1,0,1,1,0,0,0,17,0,17,8.5,8.5,12.9,13.45,LECCE,TORINO PORTA NUOVA
2026-01,FR,S11145,S01700,6,6,0,0,0,0,2,4,0,4,3,3,1,0,102,0,102,17.0,13.0,35.5,40.25,LECCE,MILANO CENTRALE
2026-01,FR,S11145,S02593,4,4,0,0,0,0,1,1,2,1,1,1,1,0,39,10,29,7.25,-1.0,26.100000000000005,31.04999999999999,LECCE,VENEZIA S.LUCIA
2026-01,FR,S11145,S08409,4,4,0,0,0,0,1,0,3,0,0,0,0,0,2,40,-38,-9.5,-10.5,0.5000000000000009,1.2499999999999982,LECCE,ROMA TERMINI
2026-01,FR,S11465,S00219,2,2,0,0,0,0,0,2,0,2,1,1,1,1,144,0,144,72.0,72.0,125.60000000000001,132.29999999999998,TARANTO,TORINO PORTA NUOVA
2026-01,FR,S11781,S00219,6,6,0,0,0,0,1,5,0,5,2,2,1,0,78,0,78,13.0,7.5,27.5,31.25,REGGIO DI CALABRIA CENTRALE,TORINO PORTA NUOVA
2026-01,FR,S11781,S01700,2,2,0,0,0,0,0,2,0,2,1,1,1,0,47,0,47,23.5,23.5,37.5,39.25,REGGIO DI CALABRIA CENTRALE,MILANO CENTRALE
2026-01,FR,S11781,S02593,2,2,0,0,0,0,1,1,0,1,0,0,0,0,8,0,8,4.0,4.0,5.6,5.8,REGGIO DI CALABRIA CENTRALE,VENEZIA S.LUCIA
2026-01,FR,S11811,S02026,2,2,0,0,0,0,1,1,0,1,1,0,0,0,12,0,12,6.0,6.0,9.2,9.6,SIBARI,BOLZANO
2026-01,IC,S00219,S04702,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,15,-15,-7.5,-7.5,-4.7,-4.3500000000000005,TORINO PORTA NUOVA,GENOVA BRIGNOLE
2026-01,IC,S00219,S04801,2,2,0,0,0,0,0,1,1,1,1,1,1,0,32,3,29,14.5,14.5,28.5,30.25,TORINO PORTA NUOVA,SAVONA
2026-01,IC,S00219,S09818,2,2,0,0,0,0,0,1,1,1,0,0,0,0,8,7,1,0.5,0.5,6.5,7.249999999999999,TORINO PORTA NUOVA,SALERNO
2026-01,IC,S00219,S11781,1,1,0,0,0,0,0,1,0,1,1,1,1,0,41,0,41,41.0,41.0,41.0,41.0,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2026-01,IC,S01645,S11145,2,2,0,0,0,0,0,1,1,1,0,0,0,0,8,4,4,2.0,2.0,6.800000000000001,7.3999999999999995,MILANO PORTA GARIBALDI,LECCE
2026-01,IC,S01700,S04501,12,12,0,0,0,0,4,2,6,2,1,0,0,0,22,22,0,0.0,-0.5,7.400000000000002,8.899999999999999,MILANO CENTRALE,VENTIMIGLIA
2026-01,IC,S01700,S06000,6,6,0,0,0,0,1,4,1,4,3,3,0,0,64,1,63,10.5,11.0,20.5,22.25,MILANO CENTRALE,LA SPEZIA CENTRALE
2026-01,IC,S01700,S06039,2,2,0,0,0,0,0,2,0,2,0,0,0,0,17,0,17,8.5,8.5,8.9,8.95,MILANO CENTRALE,GROSSETO
2026-01,IC,S01700,S06725,7,7,0,0,0,0,3,4,0,4,1,1,0,0,54,0,54,7.714285714285714,6.0,15.800000000000008,22.399999999999984,MILANO CENTRALE,LIVORNO CENTRALE
2026-01,IC,S01700,S07226,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,2,-1,-0.5,-0.5,0.7000000000000001,0.8499999999999999,MILANO CENTRALE,TERNI
2026-01,IC,S01700,S07810,2,2,0,0,0,0,1,1,0,1,0,0,0,0,7,0,7,3.5,3.5,5.5,5.75,MILANO CENTRALE,PESCARA
2026-01,IC,S01700,S09218,2,2,0,0,0,0,0,2,0,2,2,1,1,0,48,0,48,24.0,24.0,32.8,33.9,MILANO CENTRALE,NAPOLI CENTRALE
2026-01,IC,S01700,S09818,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,24,-24,-12.0,-12.0,-10.4,-10.2,MILANO CENTRALE,SALERNO
2026-01,IC,S01700,S11145,7,7,0,0,0,0,5,1,1,1,1,1,1,1,67,8,59,8.428571428571429,1.0,25.80000000000002,42.89999999999996,MILANO CENTRALE,LECCE
2026-01,IC,S01700,S12301,2,2,0,0,0,0,0,2,0,2,2,2,1,1,95,0,95,47.5,47.5,73.5,76.75,MILANO CENTRALE,MESSINA CENTRALE
2026-01,IC,S02026,S11119,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,-7,-3.5,-3.5,-2.3,-2.1500000000000004,BOLZANO,BARI CENTRALE
2026-01,IC,S03317,S08409,4,4,0,0,0,0,2,0,2,0,0,0,0,0,2,11,-9,-2.25,-1.5,1.0,1.0,TRIESTE CENTRALE,ROMA TERMINI
2026-01,IC,S04501,S01700,12,12,0,0,0,0,4,8,0,8,3,2,1,0,112,0,112,9.333333333333334,6.0,23.800000000000004,28.149999999999995,VENTIMIGLIA,MILANO CENTRALE
2026-01,IC,S04501,S08409,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,-10,-5.0,-5.0,-5.0,-5.0,VENTIMIGLIA,ROMA TERMINI
2026-01,IC,S04702,S00219,2,2,0,0,0,0,0,1,1,1,0,0,0,0,9,4,5,2.5,2.5,7.7,8.35,GENOVA BRIGNOLE,TORINO PORTA NUOVA
2026-01,IC,S04725,S09218,2,2,0,0,0,0,0,1,1,1,1,0,0,0,14,2,12,6.0,6.0,12.4,13.2,SESTRI LEVANTE,NAPOLI CENTRALE
2026-01,IC,S04801,S00219,2,2,0,0,0,0,1,1,0,1,0,0,0,0,6,0,6,3.0,3.0,4.6,4.8,SAVONA,TORINO PORTA NUOVA
2026-01,IC,S06000,S01700,6,6,0,0,0,0,0,6,0,6,2,1,0,0,60,0,60,10.0,8.5,15.5,16.25,LA SPEZIA CENTRALE,MILANO CENTRALE
2026-01,IC,S06039,S01700,2,2,0,0,0,0,0,1,1,1,1,1,0,0,20,1,19,9.5,9.5,17.9,18.95,GROSSETO,MILANO CENTRALE
