partenza,arrivo,km,fonte,qualita,km_linea_aria,rapporto,km_rinf,km_gtfs,km_osm,km_prontuario
ACQUI TERME,NIZZA MONFERRATO,20.51,rinf,ufficiale,17.23,1.19,20.51,20.51,25.24,
ACQUI TERME,OVADA,14.84,rinf,ufficiale,13.42,1.11,14.843,,14.86,
ACQUI TERME,PONTI,13.12,rinf,ufficiale,9.78,1.34,13.124,13.12,13.16,
ACQUI TERME,ROSSIGLIONE,23.38,rinf,ufficiale,19.3,1.21,23.381,,23.41,
ACQUI TERME,S GIUSEPPE DI CAIRO,48.01,rinf,ufficiale,36.72,1.31,48.01,48.02,48.83,
ACQUI TERME,SAVONA,68.3,rinf,ufficiale,40.65,1.68,68.303,68.31,69.56,
ACQUI TERME,SPIGNO,25.5,rinf,ufficiale,19.25,1.32,25.502,25.5,25.6,
ADRIA,CHIOGGIA,31.23,rinf,ufficiale,24.05,1.3,31.235,,31.31,
ADRIA,PIOVE DI SACCO,29.33,osm,stimata,26.08,1.12,,,29.33,
ADRIA,ROVIGO,24.56,rinf,ufficiale,21.52,1.14,24.557,,24.57,
ADRIA,VENEZIA MESTRE,96.81,rinf,ufficiale,48.97,1.98,96.805,,97.37,
ADRIA,VENEZIA S LUCIA,105.24,rinf,ufficiale,47.19,2.23,105.239,,105.26,
AGRIGENTO BASSA,AGRIGENTO CENTRALE,3.0,prontuario,stimata,1.15,2.61,,,,3.0
AGRIGENTO BASSA,ARAGONA CALDARE,10.0,prontuario,stimata,8.11,1.23,,,,10.0
AGRIGENTO BASSA,BRINDISI MARITTIMA,94.0,prontuario,stimata,,,,,,94.0
AGRIGENTO BASSA,CALTANISSETTA XIRBI,74.38,rinf,ufficiale,48.01,1.55,74.381,,69.79,
AGRIGENTO BASSA,PALERMO CENTRALE,133.07,rinf,ufficiale,90.04,1.48,133.074,,133.58,
AGRIGENTO BASSA,ROCCAPALUMBA ALIA,66.0,prontuario,stimata,53.31,1.24,,,,66.0
AGRIGENTO CENTRALE,ACQUAVIVA,38.16,osm,stimata,30.13,1.27,,,38.16,
AGRIGENTO CENTRALE,ACQUAVIVA CASTELTERMINI,37.94,rinf,ufficiale,30.13,1.26,37.941,,38.16,
AGRIGENTO CENTRALE,AGRIGENTO BASSA,2.97,rinf,ufficiale,1.15,2.58,2.97,,3.55,3.0
AGRIGENTO CENTRALE,ALTAVILLA M,116.21,osm,stimata,82.25,1.41,,,116.21,
AGRIGENTO CENTRALE,ARAGONA CALDARE,12.61,rinf,ufficiale,9.22,1.37,12.614,,12.72,13.0
AGRIGENTO CENTRALE,ARAGONA – CALD,13.0,prontuario,stimata,,,,,,13.0
AGRIGENTO CENTRALE,BAGHERIA,122.84,rinf,ufficiale,85.87,1.43,122.838,,124.29,
AGRIGENTO CENTRALE,BICOCCA,186.0,prontuario,stimata,130.08,1.43,,,,186.0
AGRIGENTO CENTRALE,BRINDISI MARITTIMA,97.0,prontuario,stimata,,,,,,97.0
AGRIGENTO CENTRALE,CALTANISSETTA CENTRALE,71.02,rinf,ufficiale,46.29,1.53,71.017,,66.36,
AGRIGENTO CENTRALE,CALTANISSETTA X,78.0,prontuario,stimata,,,,,,78.0
AGRIGENTO CENTRALE,CALTANISSETTA XIRBI,77.35,rinf,ufficiale,48.84,1.58,77.351,,72.8,
AGRIGENTO CENTRALE,CAMMARATA S GIOVANNI GEMINI,48.46,rinf,ufficiale,39.12,1.24,48.464,,48.72,
AGRIGENTO CENTRALE,CAMPOFRANCO,30.36,rinf,ufficiale,24.09,1.26,30.356,,30.54,
AGRIGENTO CENTRALE,CANICATTI,42.12,rinf,ufficiale,24.58,1.71,42.116,,42.33,
AGRIGENTO CENTRALE,CARINI,160.01,rinf,ufficiale,100.31,1.6,160.006,,157.3,
AGRIGENTO CENTRALE,CATANIA CENTRALE,194.0,prontuario,stimata,135.62,1.43,,,,194.0
AGRIGENTO CENTRALE,CERDA,91.0,rinf,ufficiale,73.83,1.23,91.005,,91.42,
AGRIGENTO CENTRALE,COMITINI,18.84,rinf,ufficiale,13.08,1.44,18.837,,17.7,
AGRIGENTO CENTRALE,ISOLA DELLE FEMMINE,152.07,rinf,ufficiale,102.79,1.48,152.074,,152.69,
AGRIGENTO CENTRALE,MONTEMAGGIORE,75.88,osm,stimata,61.89,1.23,,,75.88,
AGRIGENTO CENTRALE,MONTEMAGGIORE BELSITO,75.52,rinf,ufficiale,61.89,1.22,75.521,,75.88,
AGRIGENTO CENTRALE,PALERMO AEROPORTO,169.09,rinf,ufficiale,106.26,1.59,169.091,,169.93,
AGRIGENTO CENTRALE,PALERMO BRANCACCIO,133.14,rinf,ufficiale,88.79,1.5,133.141,,133.71,
AGRIGENTO CENTRALE,PALERMO CENTRALE,136.04,rinf,ufficiale,91.06,1.49,136.044,,136.59,
AGRIGENTO CENTRALE,PALERMO NOTARBARTOLO,139.97,rinf,ufficiale,93.93,1.49,139.968,,140.46,
AGRIGENTO CENTRALE,PUNTA RAISI,169.93,osm,stimata,106.26,1.6,,,169.93,
AGRIGENTO CENTRALE,ROCCAPALUMBA ALIA,66.87,rinf,ufficiale,54.45,1.23,66.87,,67.19,69.0
AGRIGENTO CENTRALE,TERMINI IMERESE,99.63,rinf,ufficiale,75.33,1.32,99.629,,100.12,
AGRIGENTO CENTRALE,VALLELUNGA,77.45,rinf,ufficiale,48.36,1.6,77.45,,77.66,
AGROPOLI,AVERSA,123.0,prontuario,stimata,,,,,,123.0
AGROPOLI,BATTIPAGLIA,30.0,prontuario,stimata,,,,,,30.0
AGROPOLI,ECCELLENTE,243.0,prontuario,stimata,,,,,,243.0
AGROPOLI,FIUMETORTO,570.0,prontuario,stimata,,,,,,570.0
AGROPOLI,GIOIA TAURO,320.0,prontuario,stimata,,,,,,320.0
AGROPOLI,MARATEA,89.0,prontuario,stimata,,,,,,89.0
AGROPOLI,MESSINA CENTRALE,381.0,prontuario,stimata,,,,,,381.0
AGROPOLI,NAPOLI CENTRALE,104.0,prontuario,stimata,,,,,,104.0
AGROPOLI,NOCERA INFERIORE,67.0,prontuario,stimata,,,,,,67.0
AGROPOLI,PALERMO CENTRALE,613.0,prontuario,stimata,,,,,,613.0
AGROPOLI,PAOLA,171.0,prontuario,stimata,,,,,,171.0
AGROPOLI,POMPEI,78.0,prontuario,stimata,,,,,,78.0
AGROPOLI,ROSARNO,310.0,prontuario,stimata,,,,,,310.0
AGROPOLI,SALERNO,50.0,prontuario,stimata,,,,,,50.0
AGROPOLI,SAPRI,77.0,prontuario,stimata,,,,,,77.0
AGROPOLI,VIBO V PIZZO,257.0,prontuario,stimata,,,,,,257.0
AGROPOLI,VILLA S GIOVANNI,357.0,prontuario,stimata,,,,,,357.0
AGROPOLI CASTELLABATE,COSENZA,193.2,rinf,ufficiale,157.28,1.23,193.201,,193.21,
AGROPOLI CASTELLABATE,NAPOLI CENTRALE,100.67,rinf,ufficiale,83.02,1.21,100.675,,101.08,
AGROPOLI CASTELLABATE,SALERNO,49.39,rinf,ufficiale,40.89,1.21,49.389,,49.65,
AIRASCA,CHIVASSO,49.56,rinf,ufficiale,43.47,1.14,49.558,49.56,49.36,
AIRASCA,PINEROLO,12.65,rinf,ufficiale,12.4,1.02,12.651,12.65,12.64,
ALA,BOLZANO,95.55,rinf,ufficiale,86.61,1.1,95.548,,95.68,
ALA,BRONZOLO,84.61,rinf,ufficiale,75.9,1.11,84.611,,84.7,
ALA,EGNA TERMENO,73.72,rinf,ufficiale,65.45,1.13,73.716,,73.78,
ALA,MEZZOCORONA,56.94,rinf,ufficiale,50.87,1.12,56.941,,56.98,
ALA,ROVERETO,16.54,rinf,ufficiale,14.82,1.12,16.536,,16.46,
ALA,TRENTO,40.11,rinf,ufficiale,36.09,1.11,40.109,,40.12,
ALA,VERONA PORTA NUOVA,50.57,rinf,ufficiale,36.7,1.38,50.574,,50.57,
ALANO FENER VALDOBBIADENE,PADOVA,63.89,rinf,ufficiale,54.27,1.18,63.891,,67.79,
ALANO FENER VALDOBBIADENE,TREVISO C,57.1,osm,stimata,35.66,1.6,,,57.1,
ALASSIO,ALBENGA,6.13,rinf,ufficiale,6.08,1.01,6.133,6.14,6.39,
ALASSIO,COGOLETO,61.19,rinf,ufficiale,56.62,1.08,61.194,61.16,61.09,
ALASSIO,FINALE LIGURE MARINA,24.14,rinf,ufficiale,23.35,1.03,24.139,,25.2,
ALASSIO,GENOVA BRIGNOLE,88.44,rinf,ufficiale,75.93,1.16,88.441,93.52,87.88,
ALASSIO,GENOVA P PRINCIPE,85.43,osm+conferma,confermata,74.99,1.14,,90.9,85.43,
ALASSIO,GENOVA PIAZZA PRINCIPE,85.8,rinf,ufficiale,75.01,1.14,85.802,96.06,85.54,
ALASSIO,GENOVA SESTRI PONENTE,79.8,osm,stimata,71.23,1.12,,,79.8,
ALASSIO,GENOVA SESTRI PONENTE AEROPORTO,79.24,rinf,ufficiale,70.84,1.12,79.237,,78.82,
ALASSIO,GENOVA VOLTRI,71.52,rinf,ufficiale,66.09,1.08,71.519,71.46,71.57,
ALASSIO,LOANO,15.14,rinf,ufficiale,14.23,1.06,15.143,15.15,15.0,
ALASSIO,MILANO CENTRALE,219.94,rinf,ufficiale,185.54,1.19,219.935,246.86,218.0,
ALASSIO,SAVONA,43.48,rinf,ufficiale,40.87,1.06,43.484,43.49,43.51,
ALASSIO,VARAZZE,53.94,rinf,ufficiale,49.88,1.08,53.937,53.9,53.88,
ALASSIO,VENTIMIGLIA,56.05,rinf,ufficiale,51.69,1.08,56.053,56.05,56.75,
ALBA,ASTI,33.56,rinf,ufficiale,25.97,1.29,33.558,96.06,95.46,
ALBA,BALANGERO,98.47,rinf,ufficiale,74.87,1.32,98.472,,98.54,
ALBA,BRA,17.49,rinf,ufficiale,14.36,1.22,17.49,17.48,17.53,
ALBA,CARMAGNOLA,37.94,rinf,ufficiale,29.94,1.27,37.935,37.94,37.62,
ALBA,CASTAGNOLE DELLE LANZE,13.43,rinf,ufficiale,11.16,1.2,13.43,,13.45,
ALBA,CIRE,90.91,osm,stimata,68.12,1.33,,,90.91,
ALBA,CIRIE,90.84,rinf,ufficiale,68.12,1.33,90.837,,90.91,
ALBA,GERMAGNANO,103.2,rinf,ufficiale,76.73,1.34,103.2,,103.28,
ALBA,MATHI,96.45,rinf,ufficiale,73.02,1.32,96.448,,96.51,
ALBA,MONCALIERI,58.32,rinf,ufficiale,42.97,1.36,58.324,58.33,57.72,
ALBA,ROMA TERMINI,606.94,osm+conferma,confermata,476.88,1.27,416.944,675.13,606.94,
ALBA,S MAURIZIO,88.23,osm,stimata,65.73,1.34,,,88.23,
ALBA,S MAURIZIO CANAVESE,88.17,rinf,ufficiale,65.73,1.34,88.167,,88.23,
ALBA,S VITTORIA,10.73,rinf,ufficiale,9.07,1.18,10.729,,10.76,
ALBA,TORINO AEROPORTO,85.17,osm,stimata,62.87,1.35,,,85.17,
ALBA,TORINO AEROPORTO DI CASELLE,85.09,rinf,ufficiale,62.88,1.35,85.091,,85.17,
ALBA,TORINO LINGOTTO,62.02,rinf,ufficiale,46.97,1.32,62.016,62.02,62.04,
ALBA,TORINO PORTA NUOVA,66.33,rinf,ufficiale,49.09,1.35,66.334,66.33,66.22,
ALBA,TORINO PORTA SUSA,67.87,rinf,ufficiale,50.54,1.34,67.866,67.86,67.8,
ALBA,TORINO REBAUDENGO FOSSATA,71.38,rinf,ufficiale,52.24,1.37,71.375,,71.41,
ALBA,TORINO STURA,74.86,rinf,ufficiale,53.33,1.4,74.858,74.86,74.86,
ALBA,TROFARELLO,53.3,rinf,ufficiale,39.14,1.36,53.304,53.3,53.34,
ALBA,VENARIA,77.76,osm,stimata,57.51,1.35,,,77.76,
ALBA,VENARIA REALE REGGIA,77.74,rinf,ufficiale,57.48,1.35,77.741,,77.73,
ALBACINA,ANCONA,61.99,rinf,ufficiale,49.7,1.25,61.992,,61.04,62.0
ALBACINA,ANCONA MARITTIMA,64.0,prontuario,stimata,,,,,,64.0
ALBACINA,FABRIANO,9.0,prontuario,stimata,6.5,1.38,,,,9.0
ALBACINA,FALCONARA M MA,53.0,prontuario,stimata,,,,,,53.0
ALBACINA,FOLIGNO,67.0,prontuario,stimata,49.61,1.35,,,,67.0
ALBACINA,FOSSATO DI VICO G,25.0,prontuario,stimata,,,,,,25.0
ALBACINA,GUALDO TADINO,31.0,prontuario,stimata,22.49,1.38,,,,31.0
ALBACINA,JESI,35.0,prontuario,stimata,28.18,1.24,,,,35.0
ALBACINA,MACERATA,59.41,rinf,ufficiale,37.77,1.57,59.406,,60.81,
ALBACINA,MATELICA,12.34,rinf,ufficiale,10.73,1.15,12.342,,13.6,
ALBACINA,NARNI AMELIA,134.0,prontuario,stimata,,,,,,134.0
ALBACINA,ORTE,151.0,prontuario,stimata,111.79,1.35,,,,151.0
ALBACINA,ROMA TERMINI,235.0,prontuario,stimata,166.12,1.41,,,,235.0
ALBACINA,ROMA TIBURTINA,230.0,prontuario,stimata,164.51,1.4,,,,230.0
ALBACINA,SPOLETO,92.0,prontuario,stimata,70.39,1.31,,,,92.0
ALBACINA,TERNI,121.0,prontuario,stimata,91.03,1.33,,,,121.0
ALBAIRATE VERMEZZO,ABBIATEGRASSO,3.26,rinf,ufficiale,3.03,1.08,3.263,,3.35,
ALBAIRATE VERMEZZO,ALESSANDRIA,68.89,rinf,ufficiale,61.59,1.12,68.891,,69.08,
ALBAIRATE VERMEZZO,CESANO MADERNO,49.1,rinf,ufficiale,28.65,1.71,49.105,,47.74,
ALBAIRATE VERMEZZO,DESIO,46.25,rinf,ufficiale,30.8,1.5,46.251,,46.4,
ALBAIRATE VERMEZZO,LISSONE MUGGIO,44.16,rinf,ufficiale,31.15,1.42,44.163,,44.2,
ALBAIRATE VERMEZZO,MILANO CENTRALE,31.08,rinf,ufficiale,23.74,1.31,31.076,,28.61,
ALBAIRATE VERMEZZO,MILANO CERTOSA,35.7,rinf,ufficiale,17.97,1.99,35.697,,34.7,
ALBAIRATE VERMEZZO,MILANO GRECO PIRELLI,31.16,rinf,ufficiale,23.34,1.33,31.158,,31.67,
ALBAIRATE VERMEZZO,MILANO LAMBRATE,27.28,rinf,ufficiale,23.24,1.17,27.278,,25.61,
ALBAIRATE VERMEZZO,MILANO PORTA GARIBALDI,32.97,rinf,ufficiale,21.45,1.54,32.966,,30.84,
ALBAIRATE VERMEZZO,MILANO PORTA GENOVA,17.84,rinf,ufficiale,,,17.836,,,
ALBAIRATE VERMEZZO,MILANO ROGOREDO,24.29,rinf,ufficiale,22.6,1.07,24.294,,27.38,
ALBAIRATE VERMEZZO,MILANO S CRISTOFORO,17.11,osm,stimata,16.08,1.06,14.46,,17.11,
ALBAIRATE VERMEZZO,MONZA,39.75,rinf,ufficiale,31.21,1.27,39.749,,39.76,
ALBAIRATE VERMEZZO,MORTARA,26.55,rinf,ufficiale,24.48,1.08,26.545,,27.21,
ALBAIRATE VERMEZZO,PC GAGGIANO,6.89,rinf,ufficiale,,,6.892,,,
ALBAIRATE VERMEZZO,SARONNO,51.02,rinf,ufficiale,25.36,2.01,51.018,,50.43,
ALBAIRATE VERMEZZO,SEREGNO,49.41,rinf,ufficiale,34.21,1.44,49.413,,49.75,
ALBAIRATE VERMEZZO,SESTO S GIOVANNI,34.87,rinf,ufficiale,26.63,1.31,34.869,,34.89,
ALBAIRATE VERMEZZO,VIGEVANO,13.85,rinf,ufficiale,12.66,1.09,13.848,,13.97,
ALBANO LAZIALE,CIAMPINO,14.49,rinf,ufficiale,12.54,1.16,14.493,,18.2,
ALBANO LAZIALE,MARINO,22.7,osm,stimata,8.59,2.64,,,22.7,
ALBANO LAZIALE,MARINO LAZIALE,22.7,osm,stimata,8.59,2.64,5.877,,22.7,
ALBANO LAZIALE,ROMA OSTIENSE,29.39,rinf,ufficiale,24.23,1.21,29.388,,29.41,
ALBANO LAZIALE,ROMA S PIETRO,34.23,rinf,ufficiale,27.86,1.23,34.226,,34.63,
ALBANO LAZIALE,ROMA TERMINI,28.41,rinf,ufficiale,26.36,1.08,28.414,,28.32,
ALBANO LAZIALE,ROMA TIBURTINA,28.47,rinf,ufficiale,26.05,1.09,28.466,,28.39,
ALBANO LAZIALE,ROMA TUSCOLANA,25.78,rinf,ufficiale,23.35,1.1,25.778,,26.53,
ALBENGA,ARQUATA SCRIVIA,110.04,rinf,ufficiale,88.39,1.24,110.04,125.71,109.05,
ALBENGA,COGOLETO,55.06,rinf,ufficiale,50.62,1.09,55.061,55.02,54.7,
ALBENGA,GENOVA BRIGNOLE,82.31,rinf,ufficiale,70.32,1.17,82.308,87.38,81.48,
ALBENGA,GENOVA P PRINCIPE,79.03,osm+conferma,confermata,69.32,1.14,,84.76,79.03,
ALBENGA,GENOVA PIAZZA PRINCIPE,79.67,rinf,ufficiale,69.34,1.15,79.669,89.92,79.14,
ALBENGA,GENOVA SESTRI PONENTE AEROPORTO,73.1,rinf,ufficiale,65.05,1.12,73.104,,72.43,
ALBENGA,GENOVA VOLTRI,65.39,rinf,ufficiale,60.17,1.09,65.386,65.32,65.17,
ALBENGA,MILANO CENTRALE,213.8,rinf,ufficiale,179.49,1.19,213.802,240.72,211.61,
ALBENGA,MILANO LAMBRATE,210.0,rinf,ufficiale,177.11,1.19,210.004,236.94,208.7,
ALBENGA,MILANO PORTA GARIBALDI,215.69,rinf,ufficiale,177.8,1.21,215.692,254.37,213.84,
ALBENGA,MILANO ROGOREDO,204.22,rinf,ufficiale,175.49,1.16,204.216,231.15,206.88,
ALBENGA,PAVIA,175.61,rinf,ufficiale,146.09,1.2,175.613,202.54,175.31,
ALBENGA,SAVONA,37.35,rinf,ufficiale,34.8,1.07,37.351,37.35,37.11,
ALBENGA,SESTRI LEVANTE,124.88,rinf,ufficiale,97.69,1.28,124.884,129.94,124.28,
ALBENGA,TORINO PORTA NUOVA,184.59,rinf,ufficiale,119.78,1.54,184.594,184.59,184.35,
ALBENGA,TORTONA,134.55,rinf,ufficiale,107.18,1.26,134.551,161.48,133.93,
ALBENGA,VENTIMIGLIA,62.19,rinf,ufficiale,57.03,1.09,62.186,62.19,63.14,
ALBENGA,VOGHERA,150.75,rinf,ufficiale,122.43,1.23,150.754,177.68,150.36,
ALBIZZATE SOLBIATE ARNO,MALPENSA AEROPORTO T2,14.72,osm,stimata,10.39,1.42,33.679,,14.72,
ALBIZZATE SOLBIATE ARNO,MILANO PORTA GARIBALDI,46.31,rinf,ufficiale,40.35,1.15,46.311,,49.65,
ALBIZZATE SOLBIATE ARNO,PIOLTELLO LIMITO,59.04,rinf,ufficiale,48.39,1.22,59.038,,59.15,
ALBIZZATE SOLBIATE ARNO,PORTO CERESIO,25.18,rinf,ufficiale,21.36,1.18,25.18,,25.28,
ALBIZZATE SOLBIATE ARNO,TREVIGLIO,79.79,rinf,ufficiale,64.26,1.24,79.791,,79.59,
ALBIZZATE SOLBIATE ARNO,VARESE,10.94,rinf,ufficiale,10.78,1.01,10.94,,56.5,
ALCAMO DIR,ALCAMO DIR,134.0,prontuario,stimata,,,,,,134.0
ALCAMO DIR,CASTELVETRANO,122.0,prontuario,stimata,,,,,,122.0
ALCAMO DIR,PALERMO CENTRALE,79.0,prontuario,stimata,,,,,,79.0
ALCAMO DIR,TRAPANI,47.0,prontuario,stimata,,,,,,47.0
ALCAMO DIRAMAZIONE,CAMPOBELLO DI MAZARA,50.22,rinf,ufficiale,41.34,1.21,50.221,,51.05,
ALCAMO DIRAMAZIONE,CASTELVETRANO,41.76,rinf,ufficiale,34.39,1.21,41.755,,42.57,
ALCAMO DIRAMAZIONE,MARAUSA,102.43,rinf,ufficiale,36.55,2.8,102.432,,103.35,
ALCAMO DIRAMAZIONE,MARSALA,85.46,rinf,ufficiale,46.33,1.84,85.461,,86.28,
ALCAMO DIRAMAZIONE,MAZARA DEL VALLO,64.43,rinf,ufficiale,45.96,1.4,64.431,,65.28,
ALCAMO DIRAMAZIONE,MOZIA BIRGI,97.42,rinf,ufficiale,38.0,2.56,97.417,,98.32,
ALCAMO DIRAMAZIONE,PETROSINO STRASATTI,75.81,rinf,ufficiale,45.47,1.67,75.805,,76.67,
ALCAMO DIRAMAZIONE,SALEMI GIBELLINA,25.73,rinf,ufficiale,19.65,1.31,25.732,,26.51,
ALCAMO DIRAMAZIONE,TRAPANI,116.96,incerta,sospetta,34.94,3.35,116.118,,116.96,
ALCANTARA,AUGUSTA,99.48,rinf,ufficiale,64.36,1.55,99.48,,97.88,
ALCANTARA,BICOCCA,50.87,rinf,ufficiale,44.06,1.15,50.869,,49.03,
ALCANTARA,CATANIA AEROPORTO FONTANAROSSA,48.63,rinf,ufficiale,41.94,1.16,48.634,,46.82,
ALCANTARA,CATANIA CENTRALE,43.44,rinf,ufficiale,37.46,1.16,43.442,,41.59,
ALCANTARA,LENTINI,71.98,rinf,ufficiale,62.07,1.16,71.983,,70.29,
ALCANTARA,MESSINA CENTRALE,51.33,rinf,ufficiale,48.7,1.05,51.329,,51.59,
ALCANTARA,SIRACUSA,124.97,osm,stimata,84.33,1.48,77.506,,124.97,
ALCANTARA,TAORMINA,4.97,osm,stimata,4.89,1.02,,,4.97,
ALESSANDRIA,ABBIATEGRASSO,65.63,rinf,ufficiale,59.64,1.1,65.628,,65.72,
ALESSANDRIA,ACQUI TERME,33.91,rinf,ufficiale,28.32,1.2,33.909,33.91,34.08,
ALESSANDRIA,ALBAIRATE VERMEZZO,68.89,rinf,ufficiale,61.59,1.12,68.891,,69.08,
ALESSANDRIA,ALTARE,87.97,rinf,ufficiale,67.28,1.31,87.965,,88.56,90.0
ALESSANDRIA,ANCONA,447.57,osm,stimata,415.37,1.08,318.328,563.49,447.57,
ALESSANDRIA,ARQUATA SCRIVIA,33.06,rinf,ufficiale,32.93,1.0,33.056,33.05,33.41,
ALESSANDRIA,ASTI,34.3,rinf,ufficiale,31.53,1.09,34.296,34.3,34.27,35.0
ALESSANDRIA,BARDONECCHIA,71.0,incerta,sospetta,150.41,0.47,,,,71.0
ALESSANDRIA,BOLZANO,377.85,osm,stimata,277.13,1.36,238.615,,377.85,
ALESSANDRIA,BORGO REVEL,70.58,rinf,ufficiale,55.86,1.26,70.58,70.56,70.58,
