partenza,arrivo,km
AGROPOLI CASTELLABATE,NAPOLI CENTRALE,101.075
AGROPOLI CASTELLABATE,SALERNO,49.65
AIRASCA,CHIVASSO,49.36
AIRASCA,PINEROLO,12.637
ALA,BOLZANO,95.682
ALA,BRONZOLO,84.699
ALA,EGNA TERMENO,73.782
ALA,MEZZOCORONA,56.979
ALA,ROVERETO,16.462
ALA,TRENTO,40.125
ALA,VERONA PORTA NUOVA,50.568
ALANO FENER VALDOBBIADENE,PADOVA,67.788
ALANO FENER VALDOBBIADENE,TREVISO C,57.098
ALASSIO,ALBENGA,6.394
ALASSIO,COGOLETO,61.089
ALASSIO,FINALE LIGURE MARINA,25.197
ALASSIO,GENOVA BRIGNOLE,87.877
ALASSIO,GENOVA P PRINCIPE,85.426
ALASSIO,GENOVA PIAZZA PRINCIPE,85.538
ALASSIO,GENOVA SESTRI PONENTE,79.798
ALASSIO,GENOVA SESTRI PONENTE AEROPORTO,78.822
ALASSIO,GENOVA VOLTRI,71.569
ALASSIO,LOANO,15.002
ALASSIO,MILANO CENTRALE,218.001
ALASSIO,SAVONA,43.507
ALASSIO,VARAZZE,53.878
ALASSIO,VENTIMIGLIA,56.747
ALBA,ASTI,95.463
ALBA,BALANGERO,98.536
ALBA,BRA,17.528
ALBA,CARMAGNOLA,37.624
ALBA,CASTAGNOLE DELLE LANZE,13.447
ALBA,CIRE,90.905
ALBA,CIRIE,90.905
ALBA,GERMAGNANO,103.284
ALBA,MATHI,96.51
ALBA,MONCALIERI,57.72
ALBA,ROMA TERMINI,606.943
ALBA,S MAURIZIO,88.23
ALBA,S MAURIZIO CANAVESE,88.23
ALBA,S VITTORIA,10.756
ALBA,TORINO AEROPORTO,85.169
ALBA,TORINO AEROPORTO DI CASELLE,85.169
ALBA,TORINO LINGOTTO,62.041
ALBA,TORINO PORTA NUOVA,66.223
ALBA,TORINO PORTA SUSA,67.796
ALBA,TORINO REBAUDENGO FOSSATA,71.41
ALBA,TORINO STURA,74.862
ALBA,TROFARELLO,53.338
ALBA,VENARIA,77.763
ALBA,VENARIA REALE REGGIA,77.729
ALBACINA,ANCONA,61.038
ALBACINA,MACERATA,60.813
ALBACINA,MATELICA,13.599
ALBAIRATE VERMEZZO,ABBIATEGRASSO,3.353
ALBAIRATE VERMEZZO,ALESSANDRIA,69.075
ALBAIRATE VERMEZZO,CESANO MADERNO,47.743
ALBAIRATE VERMEZZO,DESIO,46.396
ALBAIRATE VERMEZZO,LISSONE MUGGIO,44.2
ALBAIRATE VERMEZZO,MILANO CENTRALE,28.607
ALBAIRATE VERMEZZO,MILANO CERTOSA,34.697
ALBAIRATE VERMEZZO,MILANO GRECO PIRELLI,31.672
ALBAIRATE VERMEZZO,MILANO LAMBRATE,25.611
ALBAIRATE VERMEZZO,MILANO PORTA GARIBALDI,30.843
ALBAIRATE VERMEZZO,MILANO ROGOREDO,27.383
ALBAIRATE VERMEZZO,MILANO S CRISTOFORO,17.107
ALBAIRATE VERMEZZO,MONZA,39.758
ALBAIRATE VERMEZZO,MORTARA,27.207
ALBAIRATE VERMEZZO,SARONNO,50.429
ALBAIRATE VERMEZZO,SEREGNO,49.746
ALBAIRATE VERMEZZO,SESTO S GIOVANNI,34.894
ALBAIRATE VERMEZZO,VIGEVANO,13.969
ALBANO LAZIALE,CIAMPINO,18.203
ALBANO LAZIALE,MARINO,22.704
ALBANO LAZIALE,MARINO LAZIALE,22.704
ALBANO LAZIALE,ROMA OSTIENSE,29.412
ALBANO LAZIALE,ROMA S PIETRO,34.631
ALBANO LAZIALE,ROMA TERMINI,28.32
ALBANO LAZIALE,ROMA TIBURTINA,28.388
ALBANO LAZIALE,ROMA TUSCOLANA,26.529
ALBENGA,ARQUATA SCRIVIA,109.045
ALBENGA,COGOLETO,54.695
ALBENGA,GENOVA BRIGNOLE,81.483
ALBENGA,GENOVA P PRINCIPE,79.032
ALBENGA,GENOVA PIAZZA PRINCIPE,79.144
ALBENGA,GENOVA SESTRI PONENTE AEROPORTO,72.427
ALBENGA,GENOVA VOLTRI,65.175
ALBENGA,MILANO CENTRALE,211.607
ALBENGA,MILANO LAMBRATE,208.703
ALBENGA,MILANO PORTA GARIBALDI,213.843
ALBENGA,MILANO ROGOREDO,206.88
ALBENGA,PAVIA,175.314
ALBENGA,SAVONA,37.113
ALBENGA,SESTRI LEVANTE,124.283
ALBENGA,TORINO PORTA NUOVA,184.355
ALBENGA,TORTONA,133.934
ALBENGA,VENTIMIGLIA,63.142
ALBENGA,VOGHERA,150.362
ALBIZZATE SOLBIATE ARNO,MALPENSA AEROPORTO T2,14.723
ALBIZZATE SOLBIATE ARNO,MILANO PORTA GARIBALDI,49.646
ALBIZZATE SOLBIATE ARNO,PIOLTELLO LIMITO,59.153
ALBIZZATE SOLBIATE ARNO,PORTO CERESIO,25.278
ALBIZZATE SOLBIATE ARNO,TREVIGLIO,79.59
ALBIZZATE SOLBIATE ARNO,VARESE,56.496
ALCAMO DIRAMAZIONE,CAMPOBELLO DI MAZARA,51.053
ALCAMO DIRAMAZIONE,CASTELVETRANO,42.571
ALCAMO DIRAMAZIONE,MARAUSA,103.347
ALCAMO DIRAMAZIONE,MARSALA,86.28
ALCAMO DIRAMAZIONE,MAZARA DEL VALLO,65.275
ALCAMO DIRAMAZIONE,MOZIA BIRGI,98.324
ALCAMO DIRAMAZIONE,PETROSINO STRASATTI,76.674
ALCAMO DIRAMAZIONE,SALEMI GIBELLINA,26.51
ALCAMO DIRAMAZIONE,TRAPANI,116.96
ALCANTARA,AUGUSTA,97.879
ALCANTARA,BICOCCA,49.03
ALCANTARA,CATANIA AEROPORTO FONTANAROSSA,46.817
ALCANTARA,CATANIA CENTRALE,41.588
ALCANTARA,LENTINI,70.289
ALCANTARA,MESSINA CENTRALE,51.593
ALCANTARA,SIRACUSA,124.972
ALCANTARA,TAORMINA,4.969
ALESSANDRIA,ABBIATEGRASSO,65.723
ALESSANDRIA,ACQUI TERME,34.079
ALESSANDRIA,ALBAIRATE VERMEZZO,69.075
ALESSANDRIA,ALTARE,88.562
ALESSANDRIA,ANCONA,447.575
ALESSANDRIA,ARQUATA SCRIVIA,33.415
ALESSANDRIA,ASTI,34.275
ALESSANDRIA,BOLZANO,377.854
ALESSANDRIA,BORGO REVEL,70.579
ALESSANDRIA,BORGO S MARTINO,25.607
ALESSANDRIA,CAIRO MONTENOTTE,79.519
ALESSANDRIA,CASALE MONFERRATO,32.762
ALESSANDRIA,CASALE POPOLO,36.265
ALESSANDRIA,CASSINE,21.2
ALESSANDRIA,CAVA CARBONARA,55.895
ALESSANDRIA,CHIVASSO,81.133
ALESSANDRIA,CRESCENTINO,63.489
ALESSANDRIA,DEGO,72.337
ALESSANDRIA,FELIZZANO,14.494
ALESSANDRIA,FONTANETTO PO,57.083
ALESSANDRIA,GAMALERO,13.242
ALESSANDRIA,GENOVA BRIGNOLE,71.278
ALESSANDRIA,GENOVA P PRINCIPE,68.827
ALESSANDRIA,GENOVA PIAZZA PRINCIPE,68.939
ALESSANDRIA,GENOVA SAMPIERDARENA,68.021
ALESSANDRIA,GIAROLE,20.919
ALESSANDRIA,LOMELLO,32.979
ALESSANDRIA,MEDE,27.81
ALESSANDRIA,MERANA,62.876
ALESSANDRIA,MILANO CENTRALE,97.682
ALESSANDRIA,MILANO CERTOSA,103.773
ALESSANDRIA,MILANO GRECO PIRELLI,100.748
ALESSANDRIA,MILANO LAMBRATE,94.686
ALESSANDRIA,MILANO PORTA GARIBALDI,99.918
ALESSANDRIA,MILANO ROGOREDO,94.859
ALESSANDRIA,MILANO S CRISTOFORO,86.182
ALESSANDRIA,MOMBALDONE ROCCAVERANO,55.571
ALESSANDRIA,MORANO SUL PO,42.668
ALESSANDRIA,MORTARA,42.407
ALESSANDRIA,NOVARA,67.078
ALESSANDRIA,NOVI LIGURE,21.902
ALESSANDRIA,PARONA LOMELLINA,47.461
ALESSANDRIA,PAVIA,63.292
ALESSANDRIA,PIANA,67.73
ALESSANDRIA,PISA CENTRALE,230.315
ALESSANDRIA,ROMA TERMINI,560.518
ALESSANDRIA,S GIUSEPPE DI CAIRO,82.909
ALESSANDRIA,S PAOLO SOLBRITO,57.057
ALESSANDRIA,SAIRANO,53.731
ALESSANDRIA,SALERNO,816.239
ALESSANDRIA,SANNAZZARO,41.911
ALESSANDRIA,SAVONA,103.635
ALESSANDRIA,SEZZADIO,15.425
ALESSANDRIA,SOLERO,8.206
ALESSANDRIA,SPIGNO,59.682
ALESSANDRIA,SPINETTA,7.588
ALESSANDRIA,STREVI,27.989
ALESSANDRIA,TORINO LINGOTTO,85.701
ALESSANDRIA,TORINO PORTA NUOVA,89.884
ALESSANDRIA,TORINO STURA,97.406
ALESSANDRIA,TORREBERETTI,20.448
ALESSANDRIA,TORTONA,21.916
ALESSANDRIA,TRINO VERCELLESE,48.729
ALESSANDRIA,TROFARELLO,76.998
ALESSANDRIA,VALENZA,12.099
ALESSANDRIA,VEROLENGO,74.414
ALESSANDRIA,VIGEVANO,55.106
ALESSANDRIA,VILLAFRANCA CANTARANA,49.261
ALESSANDRIA,VILLANOVA,118.735
ALESSANDRIA,VILLANOVA D ASTI,59.882
ALESSANDRIA,VOGHERA,38.341
ALFONSINE,FERRARA,143.261
ALFONSINE,GAIBANELLA,45.148
ALFONSINE,RAVENNA,17.74
ALTARE,ACQUI TERME,54.483
ALTAVILLA IRPINA,BENEVENTO,15.343
ALTAVILLA M,PALERMO CENTRALE,20.376
ALTAVILLA MILICIA,PALERMO CENTRALE,20.376
ALTAVILLA MILICIA,TERMINI IMERESE,16.096
ALTAVILLA TAVERNELLE,VENEZIA S LUCIA,74.773
ALTOPASCIO,FIRENZE S MARIA NOVELLA,63.519
ALTOPASCIO,LUCCA,13.925
ALTOPASCIO,PISTOIA,30.086
ALTOPASCIO,VIAREGGIO,35.884
AMBIVERE MAPELLO,BERGAMO,138.479
AMBIVERE MAPELLO,CALOLZIOCORTE OLGINATE,14.502
AMBIVERE MAPELLO,LECCO,19.219
AMOROSI MELIZZANO,BENEVENTO,71.923
ANAGNI FIUGGI,CASSINO,75.46
ANAGNI FIUGGI,ROMA TERMINI,60.619
ANCONA,ALBACINA,61.038
ANCONA,ALESSANDRIA,447.575
ANCONA,AREZZO,245.851
ANCONA,ASCOLI PICENO,117.189
ANCONA,BAIANO DI SPOLETO,160.164
ANCONA,BARI CENTRALE,441.589
ANCONA,BOLOGNA CENTRALE,205.389
ANCONA,BOLZANO,460.439
ANCONA,BRENNERO,549.236
ANCONA,BRESCIA,378.124
ANCONA,CAPODACQUA PIEVE FANONICA,118.718
ANCONA,CASTEL S PIETRO TERME,180.79
ANCONA,CASTELBOLOGNESE,162.029
ANCONA,CASTELBOLOGNESE RIOLO TERME,162.029
ANCONA,CASTELFRANCO D EMILIA,228.789
ANCONA,CASTELFRANCO EMILIA,228.791
ANCONA,CASTELPLANIO CUPRAMONTANA,41.376
ANCONA,CATTOLICA S GIOVANNI GABICCE,74.594
ANCONA,CESENA,121.267
ANCONA,CHIARAVALLE,15.921
ANCONA,CIVITANOVA MARCHE MONTEGRANARO,43.02
ANCONA,CORRIDONIA MOGLIANO,64.476
ANCONA,CUPRAMARITTIMA,76.645
ANCONA,FABRIANO,70.021
ANCONA,FAENZA,153.711
ANCONA,FALCONARA MARITTIMA,13.164
ANCONA,FANO,47.085
ANCONA,FIDENZA,316.169
ANCONA,FIORENZUOLA,329.128
ANCONA,FIRENZE S MARIA NOVELLA,256.738
ANCONA,FOGGIA,319.095
ANCONA,FOLIGNO,128.976
ANCONA,FORLI,139.088
ANCONA,FOSSATO DI VICO GUBBIO,86.353
ANCONA,FRANCAVILLA AL MARE,155.306
ANCONA,GAIFANA,99.299
ANCONA,GENGA S VITTORE TERME,54.525
ANCONA,GIULIANOVA,108.43
ANCONA,GUALDO TADINO,92.205
ANCONA,IMOLA,169.769
ANCONA,JESI,26.668
ANCONA,LECCE,590.952
ANCONA,LORETO,23.647
ANCONA,MACERATA,69.985
ANCONA,MANOPPELLO,170.134
ANCONA,MAROTTA MONDOLFO,34.877
ANCONA,MARTINSICURO,92.403
ANCONA,MATELICA,74.638
ANCONA,MILANO CENTRALE,415.752
ANCONA,MILANO LAMBRATE,412.849
ANCONA,MILANO PORTA GARIBALDI,417.988
ANCONA,MILANO ROGOREDO,411.026
ANCONA,MODENA,240.704
ANCONA,MONTECOSARO,50.194
ANCONA,MONTESILVANO,139.073
ANCONA,MORROVALLE MONTE S GIUSTO,55.553
ANCONA,NOCERA UMBRA,109.517
ANCONA,OFFIDA CASTEL DI LAMA,105.176
ANCONA,ORTE,210.553
ANCONA,OSIMO CASTELFIDARDO,15.211
ANCONA,PARMA,295.295
ANCONA,PEDASO,68.58
ANCONA,PERGOLA,101.997
ANCONA,PERUGIA,168.552
ANCONA,PESARO,59.532
ANCONA,PESCARA,146.041
ANCONA,PESCARA PORTA NUOVA,147.477
ANCONA,PIACENZA,351.116
ANCONA,PINETO ATRI,126.821
ANCONA,PORTO D ASCOLI,89.357
ANCONA,PORTO S GIORGIO FERMO,58.346
ANCONA,PRATOLA PELIGNA,209.002
ANCONA,REGGIO EMILIA,265.818
ANCONA,RIMINI,92.87
ANCONA,ROMA S PIETRO,285.59
ANCONA,ROMA TERMINI,277.929
ANCONA,ROMA TIBURTINA,273.337
ANCONA,ROSETO DEGLI ABRUZZI,117.743
ANCONA,RUBIERA,253.984
ANCONA,S BENEDETTO DEL TRONTO,84.546
ANCONA,S GIUSEPPE DI CAIRO,529.102
ANCONA,S ILARIO D ENZA,283.857
ANCONA,S SEVERINO MARCHE,93.353
ANCONA,SANTARCANGELO DI ROMAGNA,103.308
ANCONA,SENIGALLIA,25.772
ANCONA,SERRA S QUIRICO,47.629
ANCONA,SPOLETO,153.262
ANCONA,SULMONA,214.577
ANCONA,TARVISIO BOSCOVERDE,567.945
ANCONA,TAVAZZANO,394.703
ANCONA,TERNI,182.638
ANCONA,TOLENTINO,88.47
ANCONA,TORINO PORTA NUOVA,537.457
ANCONA,VARANO,6.992
ANCONA,VENEZIA MESTRE,354.398
ANCONA,VENEZIA S LUCIA,362.282
ANCONA,VERONA PORTA NUOVA,318.788
ANCONA,VIPITENO VAL DI VIZZE,527.833
ANDORA,SAVONA,49.814
ANDORA,TORINO PORTA NUOVA,197.056
ANDORA,VARALLO SESIA,270.367
ANDORA,VENTIMIGLIA,50.44
ANTRODOCO BORGO VELINO,TERNI,64.395
ANTRODOCO CENTRO,RIETI,24.028
ANTRODOCO CENTRO,TERNI,65.083
ANVERSA VILLALAGO SCANNO,ROMA TIBURTINA,161.035
AOSTA,BORGOFRANCO,59.997
AOSTA,CHIVASSO,99.062
AOSTA,GENOVA P PRINCIPE,248.703
AOSTA,HONE BARD,44.534
AOSTA,IVREA,66.254
AOSTA,NUS,12.452
AOSTA,PONT SAINT MARTIN,50.043
AOSTA,TORINO PORTA NUOVA,126.472
AOSTA,TORINO STURA,114.583
AOSTA,VERRES,37.847
APRILIA,CAMPOLEONE,7.387
APRILIA,NETTUNO,19.589
APRILIA,POMEZIA S PALOMBA,15.655
APRILIA,ROMA TERMINI,39.45
APRILIA,ROMA TIBURTINA,39.519
APRILIA,TORRICOLA,27.416
ARAGONA CALDARE,CALTANISSETTA CENTRALE,53.647
ARAGONA CALDARE,CALTANISSETTA XIRBI,60.081
ARAGONA CALDARE,PALERMO CENTRALE,123.869
ARAGONA CALDARE,PALERMO NOTARBARTOLO,127.745
ARBIA,CHIUSI C T,79.302
ARBIA,CHIUSI CHIANCIANO TERME,79.302
ARBOSTELLA,SALERNO,4.559
ARCE,AVEZZANO,70.15
ARDARA,SASSARI,36.398
ARDENNO MASINO,COLICO,22.926
ARDENNO MASINO,LECCO,64.042
ARDENNO MASINO,MILANO CENTRALE,110.085
ARDENNO MASINO,SONDRIO,17.536
ARECHI,MERCATELLO,2.252
ARECHI,SALERNO,5.714
ARECHI,TORRIONE,4.026
ARENA PO,BRESSANA BOTTARONE,18.615
ARENA PO,MILANO GRECO PIRELLI,73.396
ARENA PO,PIACENZA,28.497
AREZZO,ANCONA,245.851
AREZZO,BOLOGNA CENTRALE,159.822
AREZZO,CHIUSI C T,56.427
AREZZO,CHIUSI CHIANCIANO TERME,56.427
AREZZO,COMPIOBBI,65.366
AREZZO,FIGLINE VALDARNO,43.635
AREZZO,FIRENZE CAMPO MARTE,65.157
AREZZO,FIRENZE CASTELLO,71.546
AREZZO,FIRENZE RIFREDI,69.032
AREZZO,FIRENZE S MARIA NOVELLA,69.563
AREZZO,FOLIGNO,116.875
AREZZO,INCISA,46.978
AREZZO,LATERINA,21.52
AREZZO,LUCCA,144.256
AREZZO,MILANO CENTRALE,370.185
AREZZO,MONTEVARCHI TERRANUOVA,30.659
AREZZO,NAPOLI CENTRALE,408.179
AREZZO,ORTE,131.53
AREZZO,PERUGIA,77.3
AREZZO,PISTOIA,100.247
AREZZO,PONTASSIEVE,58.976
AREZZO,PONTICINO,16.214
AREZZO,PRATO CENTRALE,83.225
AREZZO,RIGNANO SULL ARNO REGGELLO,50.788
AREZZO,ROMA OSTIENSE,201.476
AREZZO,ROMA TERMINI,199.033
AREZZO,ROMA TIBURTINA,194.442
AREZZO,S GIOVANNI VALDARNO,36.053
AREZZO,SESTRI LEVANTE,260.391
AREZZO,SPOLETO,141.929
AREZZO,TERNI,159.495
AREZZO,TERONTOLA CORTONA,34.666
AREZZO,VIAREGGIO,165.433
ARGENTA,FERRARA,165.04
ARGENTA,LAVEZZOLA,7.529
ARGENTA,RAVENNA,39.519
ARGENTA,RIMINI,90.36
ARIANO IRPINO,ROMA TERMINI,298.252
ARONA,BORGO TICINO,11.307
ARONA,BUSTO ARSIZIO,35.775
ARONA,CASORATE SEMPIONE,23.919
ARONA,CUZZAGO,33.327
ARONA,DOMODOSSOLA,52.517
ARONA,DORMELLETTO PAESE,6.35
ARONA,GALLARATE,27.005
ARONA,MARANO TICINO,18.643
ARONA,MILANO CENTRALE,70.29
ARONA,MILANO CERTOSA,62.615
ARONA,MILANO PORTA GARIBALDI,70.665
ARONA,NOVARA,39.016
ARONA,OLEGGIO,22.577
ARONA,PARABIAGO,46.095
ARONA,PREMOSELLO CHIOVENDA,37.002
ARONA,RHO,55.392
ARONA,SESTO CALENDE,11.673
ARONA,SOMMA LOMBARDO,21.187
ARONA,STRESA,14.3
ARONA,VERBANIA PALLANZA,23.06
ARQUATA SCRIVIA,ALBENGA,109.045
ARQUATA SCRIVIA,ALESSANDRIA,33.415
ARQUATA SCRIVIA,BOLOGNA CENTRALE,247.212
ARQUATA SCRIVIA,BUSALLA,15.447
ARQUATA SCRIVIA,CHIASSO,148.22
ARQUATA SCRIVIA,GENOVA BOLZANETO,29.97
ARQUATA SCRIVIA,GENOVA BRIGNOLE,37.863
ARQUATA SCRIVIA,GENOVA P PRINCIPE,35.412
ARQUATA SCRIVIA,GENOVA PIAZZA PRINCIPE,35.524
ARQUATA SCRIVIA,GENOVA PONTEDECIMO,25.839
ARQUATA SCRIVIA,GENOVA SAMPIERDARENA,34.606
ARQUATA SCRIVIA,ISOLA DEL CANTONE,9.807
ARQUATA SCRIVIA,MILANO CENTRALE,103.257
ARQUATA SCRIVIA,MILANO CERTOSA,109.457
ARQUATA SCRIVIA,MILANO GRECO PIRELLI,106.323
ARQUATA SCRIVIA,MILANO LAMBRATE,100.354
ARQUATA SCRIVIA,MILANO PORTA GARIBALDI,105.493
ARQUATA SCRIVIA,MILANO ROGOREDO,98.531
ARQUATA SCRIVIA,PAVIA,66.964
ARQUATA SCRIVIA,PIACENZA,100.139
ARQUATA SCRIVIA,PIETRABISSARA,5.022
ARQUATA SCRIVIA,RIMINI,358.383
ARQUATA SCRIVIA,RONCO SCRIVIA,10.022
ARQUATA SCRIVIA,SAVONA,71.932
ARQUATA SCRIVIA,SERRAVALLE SCRIVIA,4.663
ARQUATA SCRIVIA,SESTRI LEVANTE,80.664
ARQUATA SCRIVIA,TORINO LINGOTTO,119.115
ARQUATA SCRIVIA,TORINO PORTA NUOVA,123.297
ARQUATA SCRIVIA,TORTONA,25.585
ARQUATA SCRIVIA,VOGHERA,42.012
ASCEA,NAPOLI CENTRALE,132.127
ASCIANO,CHIUSI C T,57.264
ASCIANO,CHIUSI CHIANCIANO TERME,57.264
ASCIANO,EMPOLI,94.949
ASCIANO,GROSSETO,283.531
ASCIANO,ROMA OSTIENSE,204.135
ASCIANO,SIENA,31.828
ASCOLI PICENO,ANCONA,117.189
ASCOLI PICENO,CIVITANOVA MARCHE MONTEGRANARO,74.448
ASCOLI PICENO,LORETO,93.547
ASCOLI PICENO,OFFIDA CASTEL DI LAMA,12.013
ASCOLI PICENO,PORTO D ASCOLI,27.832
ASCOLI PICENO,PORTO S GIORGIO FERMO,58.844
ASCOLI PICENO,S BENEDETTO DEL TRONTO,32.643
ASOLA,BRESCIA,40.162
ASOLA,PARMA,52.451
ASOLA,VISANO,11.0
ASSISI,FIRENZE S MARIA NOVELLA,167.131
ASSISI,FOLIGNO,15.554
ASSISI,ORTE,97.898
ASSISI,PERUGIA,24.022
ASSISI,ROMA S PIETRO,172.935
ASSISI,ROMA TERMINI,165.273
ASSISI,TERNI,69.983
ASSISI,TERONTOLA CORTONA,66.656
ASSISI,VENTIMIGLIA,545.384
ASSO,CARUGO GIUSSANO,21.285
ASSO,CORMANO CUSANO MILANINO,41.404
ASSO,ERBA,7.179
ASSO,LAMBRUGO LURAGO D ERBA,13.638
ASSO,MARIANO COMENSE,22.767
ASSO,MEDA,28.017
ASSO,MILANO AFFORI,44.169
ASSO,MILANO BOVISA,47.164
ASSO,MILANO BRUZZANO PARCO NORD,42.772
ASSO,MILANO CADORNA,50.615
ASSO,PALAZZOLO MILANESE,37.149
ASTI,ACQUI TERME,68.23
ASTI,ALBA,95.463
ASTI,ALESSANDRIA,34.275
ASTI,ANCONA,481.848
ASTI,CAMBIANO SANTENA,39.303
ASTI,CANELLI,97.706
ASTI,CASTAGNOLE DELLE LANZE,108.91
ASTI,CHIVASSO,51.362
ASTI,GENOVA BRIGNOLE,105.55
ASTI,GENOVA P PRINCIPE,103.099
ASTI,GENOVA SAMPIERDARENA,102.293
ASTI,LUINO,166.618
ASTI,MILANO CENTRALE,129.614
ASTI,MILANO LAMBRATE,126.618
ASTI,MILANO PORTA GARIBALDI,131.85
ASTI,MILANO ROGOREDO,126.873
ASTI,MOMBARUZZO,81.298
ASTI,MONCALIERI,47.113
ASTI,MONTEGROSSO,101.682
ASTI,NIZZA MONFERRATO,93.473
ASTI,NOVI LIGURE,56.175
ASTI,PAVIA,95.306
ASTI,PESARO,422.316
ASTI,ROMA TERMINI,594.791
ASTI,S DAMIANO D ASTI,7.139
ASTI,SALERNO,850.512
ASTI,SPINETTA,41.86
ASTI,TORINO AEROPORTO,74.561
ASTI,TORINO AEROPORTO DI CASELLE,74.561
ASTI,TORINO LINGOTTO,51.434
ASTI,TORINO PORTA NUOVA,55.616
ASTI,TORINO REBAUDENGO FOSSATA,60.802
ASTI,TORINO STURA,64.254
