partenza,arrivo,km,origine_stima
ALESSANDRIA,ACQUI TERME,33.91,cammino
ALESSANDRIA,ANCONA,563.488,cammino
ALESSANDRIA,ARQUATA SCRIVIA,33.05,cammino
ALESSANDRIA,ASTI,34.3,adiacenti
ALESSANDRIA,BORGO REVEL,70.565,cammino
ALESSANDRIA,BORGO S MARTINO,25.58,cammino
ALESSANDRIA,CAIRO MONTENOTTE,79.205,cammino
ALESSANDRIA,CASALE MONFERRATO,32.72,cammino
ALESSANDRIA,CASALE POPOLO,36.21,cammino
ALESSANDRIA,CASSINE,21.03,cammino
ALESSANDRIA,CHIVASSO,81.115,cammino
ALESSANDRIA,CRESCENTINO,63.475,cammino
ALESSANDRIA,DEGO,72.01,cammino
ALESSANDRIA,FELIZZANO,14.53,adiacenti
ALESSANDRIA,FONTANETTO PO,57.055,cammino
ALESSANDRIA,GENOVA BRIGNOLE,71.375,cammino
ALESSANDRIA,GENOVA P PRINCIPE,73.999,cammino
ALESSANDRIA,GENOVA PIAZZA PRINCIPE,68.835,cammino
ALESSANDRIA,GENOVA SAMPIERDARENA,82.561,cammino
ALESSANDRIA,GIAROLE,20.9,cammino
ALESSANDRIA,MERANA,62.535,cammino
ALESSANDRIA,MILANO CENTRALE,101.151,cammino
ALESSANDRIA,MILANO LAMBRATE,97.371,cammino
ALESSANDRIA,MILANO PORTA GARIBALDI,114.8,cammino
ALESSANDRIA,MILANO ROGOREDO,91.58,cammino
ALESSANDRIA,MOMBALDONE ROCCAVERANO,55.305,cammino
ALESSANDRIA,MORANO SUL PO,42.615,cammino
ALESSANDRIA,MORTARA,42.34,cammino
ALESSANDRIA,NOVARA,66.58,cammino
ALESSANDRIA,NOVI LIGURE,21.6,adiacenti
ALESSANDRIA,PAVIA,62.975,cammino
ALESSANDRIA,PIANA,67.43,cammino
ALESSANDRIA,PISA CENTRALE,230.047,cammino
ALESSANDRIA,ROMA TERMINI,563.374,cammino
ALESSANDRIA,S GIUSEPPE DI CAIRO,81.925,cammino
ALESSANDRIA,S PAOLO SOLBRITO,57.095,cammino
ALESSANDRIA,SAVONA,102.215,cammino
ALESSANDRIA,SEZZADIO,15.27,cammino
ALESSANDRIA,SOLERO,8.24,adiacenti
ALESSANDRIA,SPIGNO,59.405,cammino
ALESSANDRIA,STREVI,27.81,cammino
ALESSANDRIA,TORINO LINGOTTO,85.755,cammino
ALESSANDRIA,TORINO PORTA NUOVA,90.075,cammino
ALESSANDRIA,TORINO STURA,97.455,cammino
ALESSANDRIA,TORREBERETTI,20.17,cammino
ALESSANDRIA,TORTONA,21.915,adiacenti
ALESSANDRIA,TRINO VERCELLESE,48.685,cammino
ALESSANDRIA,TROFARELLO,77.045,cammino
ALESSANDRIA,VALENZA,13.95,adiacenti
ALESSANDRIA,VEROLENGO,74.425,cammino
ALESSANDRIA,VILLAFRANCA CANTARANA,49.305,cammino
ALESSANDRIA,VILLANOVA D ASTI,59.915,cammino
ALESSANDRIA,VOGHERA,38.115,cammino
ALTOPASCIO,FIRENZE S MARIA NOVELLA,63.265,cammino
ALTOPASCIO,LUCCA,13.983,adiacenti
ALTOPASCIO,PISTOIA,29.799,cammino
ALTOPASCIO,VIAREGGIO,37.01,cammino
ANCONA,ALESSANDRIA,563.488,cammino
ANCONA,AREZZO,318.166,cammino
ANCONA,BOLOGNA CENTRALE,205.524,cammino
ANCONA,BRESCIA,595.66,cammino
ANCONA,CASTELBOLOGNESE,162.339,cammino
ANCONA,CESENA,121.483,cammino
ANCONA,FAENZA,155.096,cammino
ANCONA,FANO,47.156,cammino
ANCONA,FIDENZA,511.573,cammino
ANCONA,FIORENZUOLA,525.048,cammino
ANCONA,FIRENZE S MARIA NOVELLA,256.18,cammino
ANCONA,FOLIGNO,435.11,cammino
ANCONA,FORLI,139.368,cammino
ANCONA,IMOLA,170.145,cammino
ANCONA,MAROTTA MONDOLFO,34.906,cammino
ANCONA,MILANO CENTRALE,618.082,cammino
ANCONA,MILANO LAMBRATE,614.302,cammino
ANCONA,MILANO PORTA GARIBALDI,639.562,cammino
ANCONA,MILANO ROGOREDO,608.511,cammino
ANCONA,ORTE,463.135,cammino
ANCONA,PARMA,509.819,cammino
ANCONA,PERUGIA,395.471,cammino
ANCONA,PESARO,59.638,cammino
ANCONA,PIACENZA,546.687,cammino
ANCONA,RIMINI,93.038,cammino
ANCONA,ROMA S PIETRO,555.558,cammino
ANCONA,ROMA TERMINI,543.634,cammino
ANCONA,ROMA TIBURTINA,539.114,cammino
ANCONA,S GIUSEPPE DI CAIRO,562.437,cammino
ANCONA,SENIGALLIA,25.865,cammino
ANCONA,TORINO PORTA NUOVA,653.563,cammino
ARBIA,CHIUSI C T,79.234,cammino
AREZZO,ANCONA,318.166,cammino
AREZZO,BOLOGNA CENTRALE,168.549,cammino
AREZZO,CHIUSI C T,63.191,cammino
AREZZO,COMPIOBBI,71.495,cammino
AREZZO,FIGLINE VALDARNO,43.824,cammino
AREZZO,FIRENZE CASTELLO,76.982,cammino
AREZZO,FIRENZE RIFREDI,74.364,cammino
AREZZO,FIRENZE S MARIA NOVELLA,73.639,cammino
AREZZO,FOLIGNO,116.944,cammino
AREZZO,INCISA,48.187,cammino
AREZZO,LATERINA,21.537,adiacenti
AREZZO,LUCCA,148.847,cammino
AREZZO,MILANO CENTRALE,433.502,cammino
AREZZO,ORTE,144.969,cammino
AREZZO,PERUGIA,77.305,cammino
AREZZO,PISTOIA,105.066,cammino
AREZZO,PONTASSIEVE,63.878,cammino
AREZZO,PONTICINO,16.157,adiacenti
AREZZO,PRATO CENTRALE,88.007,cammino
AREZZO,RIGNANO SULL ARNO REGGELLO,55.659,cammino
AREZZO,ROMA OSTIENSE,232.581,cammino
AREZZO,ROMA TERMINI,225.468,cammino
AREZZO,ROMA TIBURTINA,220.948,cammino
AREZZO,SESTRI LEVANTE,264.978,cammino
AREZZO,VIAREGGIO,171.103,cammino
ARONA,BORGO TICINO,8.23,adiacenti
ARONA,BUSTO ARSIZIO,32.6,cammino
ARONA,CUZZAGO,36.33,cammino
ARONA,DOMODOSSOLA,55.545,cammino
ARONA,DORMELLETTO PAESE,3.25,adiacenti
ARONA,GALLARATE,25.5,cammino
ARONA,MARANO TICINO,15.62,cammino
ARONA,MILANO CENTRALE,68.0,cammino
ARONA,MILANO PORTA GARIBALDI,64.24,cammino
ARONA,NOVARA,35.74,cammino
ARONA,OLEGGIO,19.15,cammino
ARONA,PREMOSELLO CHIOVENDA,40.015,cammino
ARONA,RHO,71.37,cammino
ARONA,SESTO CALENDE,8.52,adiacenti
ARONA,SOMMA LOMBARDO,18.02,cammino
ARONA,STRESA,17.335,adiacenti
ARONA,VERBANIA PALLANZA,26.075,cammino
ARQUATA SCRIVIA,ALBENGA,125.709,cammino
ARQUATA SCRIVIA,ALESSANDRIA,33.05,cammino
ARQUATA SCRIVIA,BOLOGNA CENTRALE,339.166,cammino
ARQUATA SCRIVIA,GENOVA BRIGNOLE,38.325,cammino
ARQUATA SCRIVIA,GENOVA P PRINCIPE,40.949,cammino
ARQUATA SCRIVIA,GENOVA PIAZZA PRINCIPE,35.785,cammino
ARQUATA SCRIVIA,GENOVA SAMPIERDARENA,49.511,cammino
ARQUATA SCRIVIA,MILANO CENTRALE,134.201,cammino
ARQUATA SCRIVIA,MILANO LAMBRATE,130.421,cammino
ARQUATA SCRIVIA,MILANO PORTA GARIBALDI,147.85,cammino
ARQUATA SCRIVIA,MILANO ROGOREDO,124.63,cammino
ARQUATA SCRIVIA,PAVIA,96.025,cammino
ARQUATA SCRIVIA,PIACENZA,186.454,cammino
ARQUATA SCRIVIA,RIMINI,437.4,cammino
ARQUATA SCRIVIA,RONCO SCRIVIA,10.485,adiacenti
ARQUATA SCRIVIA,SAVONA,88.359,cammino
ARQUATA SCRIVIA,SERRAVALLE SCRIVIA,4.32,adiacenti
ARQUATA SCRIVIA,SESTRI LEVANTE,80.88,cammino
ARQUATA SCRIVIA,TORINO LINGOTTO,118.805,cammino
ARQUATA SCRIVIA,TORINO PORTA NUOVA,123.125,cammino
ARQUATA SCRIVIA,TORTONA,54.965,cammino
ARQUATA SCRIVIA,VOGHERA,71.165,cammino
ASCIANO,CHIUSI C T,57.219,cammino
ASCIANO,EMPOLI,94.7,cammino
ASCIANO,GROSSETO,132.415,cammino
ASCIANO,ROMA OSTIENSE,226.609,cammino
ASCIANO,SIENA,31.738,cammino
ASSISI,FIRENZE S MARIA NOVELLA,174.914,cammino
ASSISI,FOLIGNO,15.669,cammino
ASSISI,ORTE,176.872,cammino
ASSISI,PERUGIA,23.97,cammino
ASSISI,ROMA S PIETRO,269.295,cammino
ASSISI,ROMA TERMINI,257.371,cammino
ASSISI,VENTIMIGLIA,558.382,cammino
ASTI,ACQUI TERME,45.47,cammino
ASTI,ALBA,96.055,cammino
ASTI,ALESSANDRIA,34.3,adiacenti
ASTI,ANCONA,597.783,cammino
ASTI,CAMBIANO SANTENA,39.34,cammino
ASTI,CHIVASSO,80.65,cammino
ASTI,GENOVA BRIGNOLE,105.67,cammino
ASTI,GENOVA P PRINCIPE,108.294,cammino
ASTI,GENOVA SAMPIERDARENA,116.856,cammino
ASTI,MILANO CENTRALE,135.446,cammino
ASTI,MILANO LAMBRATE,131.666,cammino
ASTI,MILANO PORTA GARIBALDI,149.095,cammino
ASTI,MILANO ROGOREDO,125.875,cammino
ASTI,MOMBARUZZO,32.3,cammino
ASTI,MONCALIERI,47.77,cammino
ASTI,MONTEGROSSO,12.11,cammino
ASTI,NIZZA MONFERRATO,24.96,cammino
ASTI,NOVI LIGURE,55.895,cammino
ASTI,PAVIA,97.27,cammino
ASTI,PESARO,538.145,cammino
ASTI,ROMA TERMINI,597.669,cammino
ASTI,S DAMIANO D ASTI,7.17,adiacenti
ASTI,TORINO LINGOTTO,51.46,adiacenti
ASTI,TORINO PORTA NUOVA,55.78,cammino
ASTI,TORINO STURA,64.31,cammino
ASTI,TORTONA,56.21,cammino
ASTI,TROFARELLO,42.75,cammino
ASTI,VILLANOVA D ASTI,25.62,cammino
ASTI,VOGHERA,72.41,cammino
ATTIGLIANO,FIRENZE S MARIA NOVELLA,204.972,cammino
AULLA LUNIGIANA,BAGNI DI LUCCA,66.606,cammino
AULLA LUNIGIANA,EMPOLI,125.056,cammino
AULLA LUNIGIANA,FIRENZE S MARIA NOVELLA,155.291,cammino
AULLA LUNIGIANA,FORNACI DI BARGA,58.061,cammino
AULLA LUNIGIANA,FORNOVO,75.385,cammino
AULLA LUNIGIANA,GENOVA BRIGNOLE,104.998,cammino
AULLA LUNIGIANA,GRAGNOLA,13.795,cammino
AULLA LUNIGIANA,LIVORNO CENTRALE,98.525,cammino
AULLA LUNIGIANA,LUCCA,78.816,cammino
AULLA LUNIGIANA,MASSA CENTRO,35.595,cammino
AULLA LUNIGIANA,PARMA,98.348,cammino
AULLA LUNIGIANA,PISA CENTRALE,78.03,cammino
AULLA LUNIGIANA,PONTREMOLI,19.968,cammino
AULLA LUNIGIANA,S PIETRO A VICO,84.05,cammino
AULLA LUNIGIANA,SARZANA,18.376,cammino
AULLA LUNIGIANA,VIAREGGIO,55.788,cammino
AVIGLIANA,BARDONECCHIA,62.11,cammino
AVIGLIANA,BUSSOLENO,21.43,adiacenti
AVIGLIANA,SUSA,28.96,cammino
AVIGLIANA,TORINO PORTA NUOVA,24.1,cammino
BAGNI DI LUCCA,AULLA LUNIGIANA,66.606,cammino
BAGNI DI LUCCA,LUCCA,23.307,cammino
BAGNI DI LUCCA,PISA CENTRALE,46.44,cammino
BARDONECCHIA,ASTI,141.99,cammino
BARDONECCHIA,AVIGLIANA,62.11,cammino
BARDONECCHIA,BUSSOLENO,40.68,cammino
BARDONECCHIA,COLLEGNO,76.42,cammino
BARDONECCHIA,GENOVA BRIGNOLE,247.66,cammino
BARDONECCHIA,GRUGLIASCO,78.71,cammino
BARDONECCHIA,MILANO CENTRALE,238.26,cammino
BARDONECCHIA,NOVI LIGURE,197.885,cammino
BARDONECCHIA,OULX CESANA CLAVIERE SESTRIERE,11.09,cammino
BARDONECCHIA,ROMA TERMINI,739.659,cammino
BARDONECCHIA,RONCO SCRIVIA,219.82,cammino
BARDONECCHIA,SALBERTRAND,17.03,cammino
BARDONECCHIA,TORINO PORTA NUOVA,86.21,cammino
BASTIA,ROMA TERMINI,253.974,cammino
BERCETO,COLLECCHIO,33.279,cammino
BERCETO,PARMA,45.045,cammino
BERCETO,VICOFERTILE,37.757,cammino
BERGAMO,BRESCIA,48.699,cammino
BERGAMO,COCCAGLIO,29.573,cammino
BERGAMO,CREMONA,98.905,cammino
BERGAMO,FIDENZA,132.786,cammino
BERGAMO,FORNOVO,157.503,cammino
BERGAMO,IMPERIA,449.11,cammino
BERGAMO,MANERBIO,70.677,cammino
BERGAMO,MILANO CENTRALE,239.295,cammino
BERGAMO,MILANO LAMBRATE,235.515,cammino
BERGAMO,MILANO PORTA GARIBALDI,260.775,cammino
BERGAMO,MONTELLO GORLAGO,11.174,cammino
BERGAMO,PESARO,584.721,cammino
BERGAMO,PISA CENTRALE,310.918,cammino
BERGAMO,RIMINI,551.321,cammino
BERGAMO,ROMA TERMINI,644.245,cammino
BERGAMO,ROVATO,31.678,cammino
BERGAMO,SERIATE,3.572,adiacenti
BERGAMO,TORINO PORTA NUOVA,391.345,cammino
BERGAMO,VENTIMIGLIA,487.46,cammino
BIELLA S PAOLO,BIANZE,34.85,cammino
BIELLA S PAOLO,CHIVASSO,57.4,cammino
BIELLA S PAOLO,COSSATO,10.42,adiacenti
BIELLA S PAOLO,NOVARA,50.77,cammino
BIELLA S PAOLO,ROVASENDA,23.23,cammino
BIELLA S PAOLO,SALUSSOLA,15.555,adiacenti
BIELLA S PAOLO,SANTHIA,26.72,adiacenti
BIELLA S PAOLO,TORINO LINGOTTO,86.59,cammino
BIELLA S PAOLO,TORINO PORTA NUOVA,85.78,cammino
BOLOGNA CENTRALE,ALESSANDRIA,372.216,cammino
BOLOGNA CENTRALE,ANCONA,205.524,cammino
BOLOGNA CENTRALE,AREZZO,168.549,cammino
BOLOGNA CENTRALE,ARQUATA SCRIVIA,339.166,cammino
BOLOGNA CENTRALE,BOLOGNA S VITALE,2.726,adiacenti
BOLOGNA CENTRALE,CASALPUSTERLENGO,372.4,cammino
BOLOGNA CENTRALE,CASTELBOLOGNESE,43.204,cammino
BOLOGNA CENTRALE,CESENA,84.06,cammino
BOLOGNA CENTRALE,CESENATICO,112.542,cammino
BOLOGNA CENTRALE,CODOGNO,367.543,cammino
BOLOGNA CENTRALE,FAENZA,50.447,cammino
BOLOGNA CENTRALE,FANO,158.368,cammino
BOLOGNA CENTRALE,FIDENZA,320.3,cammino
BOLOGNA CENTRALE,FIORENZUOLA,333.775,cammino
BOLOGNA CENTRALE,FIRENZE RIFREDI,94.185,cammino
BOLOGNA CENTRALE,FIRENZE S MARIA NOVELLA,96.949,cammino
BOLOGNA CENTRALE,FORLI,66.175,cammino
BOLOGNA CENTRALE,GENOVA BRIGNOLE,300.841,cammino
BOLOGNA CENTRALE,GENOVA P PRINCIPE,303.465,cammino
BOLOGNA CENTRALE,GRIZZANA,35.7,cammino
BOLOGNA CENTRALE,IGEA MARINA,123.148,cammino
BOLOGNA CENTRALE,IMOLA,35.398,adiacenti
BOLOGNA CENTRALE,LODI,391.263,cammino
BOLOGNA CENTRALE,MAROTTA MONDOLFO,170.618,cammino
BOLOGNA CENTRALE,MARRADI,84.792,cammino
BOLOGNA CENTRALE,MILANO CENTRALE,426.809,cammino
BOLOGNA CENTRALE,MILANO LAMBRATE,423.029,cammino
BOLOGNA CENTRALE,MILANO PORTA GARIBALDI,448.289,cammino
BOLOGNA CENTRALE,MILANO ROGOREDO,417.238,cammino
BOLOGNA CENTRALE,MONZUNO,25.511,cammino
BOLOGNA CENTRALE,PARMA,318.546,cammino
BOLOGNA CENTRALE,PESARO,145.886,cammino
BOLOGNA CENTRALE,PIACENZA,355.414,cammino
BOLOGNA CENTRALE,PIANORO,16.358,cammino
BOLOGNA CENTRALE,PORRETTA TERME,137.452,cammino
BOLOGNA CENTRALE,PRATO CENTRALE,80.542,cammino
BOLOGNA CENTRALE,RAVENNA,83.92,cammino
BOLOGNA CENTRALE,RHO FIERA,439.429,cammino
BOLOGNA CENTRALE,RIMINI,112.486,adiacenti
BOLOGNA CENTRALE,RIMINI VISERBA,116.73,cammino
BOLOGNA CENTRALE,ROMA OSTIENSE,401.13,cammino
BOLOGNA CENTRALE,ROMA S PIETRO,405.941,cammino
BOLOGNA CENTRALE,ROMA TERMINI,394.017,cammino
BOLOGNA CENTRALE,ROMA TIBURTINA,389.497,cammino
BOLOGNA CENTRALE,RUSSI,67.536,cammino
BOLOGNA CENTRALE,SENIGALLIA,179.659,cammino
BOLOGNA CENTRALE,TORINO PORTA NUOVA,462.291,cammino
BOLOGNA CENTRALE,TORINO STURA,469.671,cammino
BOLOGNA CENTRALE,VAIANO,70.417,cammino
BOLOGNA CENTRALE,VOGHERA,410.331,cammino
BORGO A BUGGIANO,FIRENZE S MARIA NOVELLA,50.476,cammino
BORGO A BUGGIANO,LUCCA,26.771,cammino
BORGO A BUGGIANO,VIAREGGIO,49.799,cammino
BORGO REVEL,ALESSANDRIA,70.565,cammino
BORGO S DALMAZZO,CUNEO,8.58,adiacenti
BORGO S DALMAZZO,VENTIMIGLIA,87.32,cammino
BORGO S MARTINO,ALESSANDRIA,25.58,cammino
BORGO TICINO,ARONA,8.23,adiacenti
BORGO TICINO,NOVARA,27.51,cammino
BORGOMANERO,DOMODOSSOLA,56.46,cammino
BORGOMANERO,NOVARA,30.405,cammino
BORGONE,TORINO PORTA NUOVA,38.1,cammino
BRA,ALBA,17.485,cammino
BRA,CARMAGNOLA,20.45,cammino
BRA,CAVALLERMAGGIORE,12.9,cammino
BRA,TORINO LINGOTTO,44.53,cammino
BRA,TORINO PORTA NUOVA,48.85,cammino
BRA,TORINO STURA,57.38,cammino
BREIL SUR ROYA,CUNEO,74.245,cammino
BRESCIA,ANCONA,595.66,cammino
BRESCIA,BERGAMO,48.699,cammino
BRESCIA,BOLOGNA CENTRALE,404.387,cammino
BRESCIA,COCCAGLIO,19.126,cammino
BRESCIA,CREMONA,50.206,cammino
BRESCIA,FIDENZA,84.087,cammino
BRESCIA,MANERBIO,21.978,adiacenti
BRESCIA,MILANO CENTRALE,190.596,cammino
BRESCIA,MILANO LAMBRATE,186.816,cammino
BRESCIA,MILANO PORTA GARIBALDI,212.076,cammino
BRESCIA,MONTELLO GORLAGO,37.525,cammino
BRESCIA,ORVIETO,500.595,cammino
BRESCIA,PARMA,131.767,cammino
BRESCIA,PESARO,536.022,cammino
BRESCIA,PISA CENTRALE,262.219,cammino
BRESCIA,RAVENNA,474.037,cammino
BRESCIA,RIMINI,502.622,cammino
BRESCIA,ROMA TERMINI,595.546,cammino
BRESCIA,ROVATO,17.021,adiacenti
BRESCIA,SERIATE,45.127,cammino
BRESCIA,TORINO PORTA NUOVA,342.646,cammino
BRISIGHELLA,FAENZA,13.03,adiacenti
BRISIGHELLA,FIRENZE S MARIA NOVELLA,88.054,cammino
BRISIGHELLA,RIMINI,75.088,cammino
BUONCONVENTO,CASTELLINA CH,42.883,cammino
BUONCONVENTO,CERTALDO,67.343,cammino
BUONCONVENTO,EMPOLI,91.707,cammino
BUONCONVENTO,FIRENZE S MARIA NOVELLA,121.942,cammino
BUONCONVENTO,GRANAIOLO,81.655,cammino
BUONCONVENTO,GROSSETO,71.932,cammino
BUONCONVENTO,POGGIBONSI,53.798,cammino
BUONCONVENTO,PONTE A ELSA,87.495,cammino
BUONCONVENTO,SIENA,28.745,cammino
BUSSETO,CREMONA,21.224,cammino
BUSSETO,FIDENZA,12.657,adiacenti
BUSSETO,PARMA,60.337,cammino
BUSSOLENO,AVIGLIANA,21.43,adiacenti
BUSSOLENO,BARDONECCHIA,40.68,cammino
BUSSOLENO,COLLEGNO,35.74,cammino
BUSSOLENO,SALBERTRAND,23.65,cammino
BUSSOLENO,SUSA,7.53,adiacenti
BUSSOLENO,TORINO PORTA NUOVA,45.53,cammino
BUSTO ARSIZIO,ARONA,32.6,cammino
BUSTO ARSIZIO,DOMODOSSOLA,88.145,cammino
BUSTO ARSIZIO,MILANO CENTRALE,35.4,cammino
BUSTO ARSIZIO,MILANO LAMBRATE,39.18,cammino
BUSTO ARSIZIO,MILANO PORTA GARIBALDI,31.64,cammino
BUSTO ARSIZIO,VENTIMIGLIA,330.475,cammino
CAIRO MONTENOTTE,ALESSANDRIA,79.205,cammino
CALTIGNAGA,DOMODOSSOLA,78.895,cammino
CALUSO,IVREA,18.54,cammino
CALUSO,NOVARA,85.61,cammino
CALUSO,TORINO PORTA NUOVA,42.3,cammino
CAMBIANO SANTENA,ASTI,39.34,cammino
CAMBIANO SANTENA,TORINO LINGOTTO,12.12,cammino
CAMBIANO SANTENA,TORINO STURA,24.97,cammino
CAMPOMIGLIAIO,FIRENZE S MARIA NOVELLA,26.729,cammino
CANDIA CANAVESE,CHIVASSO,17.42,cammino
CANDIA CANAVESE,NOVARA,89.11,cammino
CANDIA CANAVESE,TORINO PORTA NUOVA,45.8,cammino
CANDIOLO,CHIVASSO,39.56,cammino
CANDIOLO,PINEROLO,22.655,cammino
CAPALBIO,PISA CENTRALE,198.348,cammino
CARMAGNOLA,ALBA,37.935,cammino
CARMAGNOLA,BRA,20.45,cammino
CARMAGNOLA,CUNEO,60.18,cammino
CARMAGNOLA,FOSSANO,35.04,cammino
CARMAGNOLA,SAVONA,118.84,cammino
CARMAGNOLA,TORINO LINGOTTO,24.08,adiacenti
CARMAGNOLA,TORINO PORTA NUOVA,28.4,cammino
CARMAGNOLA,TORINO STURA,36.93,cammino
CARMAGNOLA,TROFARELLO,15.37,adiacenti
CARMAGNOLA,VENTIMIGLIA,156.08,cammino
CASALE MONFERRATO,ALESSANDRIA,32.72,cammino
CASALE MONFERRATO,CHIVASSO,48.395,cammino
CASALE MONFERRATO,MILANO PORTA GARIBALDI,119.64,cammino
CASALE MONFERRATO,MORTARA,47.18,cammino
CASALE MONFERRATO,NOVARA,71.42,cammino
CASALE MONFERRATO,TRINO VERCELLESE,15.965,cammino
CASALE POPOLO,ALESSANDRIA,36.21,cammino
CASALPUSTERLENGO,BOLOGNA CENTRALE,372.4,cammino
CASALPUSTERLENGO,CREMONA,85.981,cammino
CASALPUSTERLENGO,MILANO CENTRALE,54.409,cammino
CASALPUSTERLENGO,MILANO LAMBRATE,50.629,cammino
CASALPUSTERLENGO,PAVIA,73.443,cammino
CASALPUSTERLENGO,PIACENZA,16.986,cammino
CASALPUSTERLENGO,RIMINI,470.635,cammino
CASCINA,PISA CENTRALE,12.539,adiacenti
CASSINE,ALESSANDRIA,21.03,cammino
CASSINE,SAVONA,81.185,cammino
CASTELBOLOGNESE,ANCONA,162.339,cammino
CASTELBOLOGNESE,ARQUATA SCRIVIA,382.37,cammino
CASTELBOLOGNESE,BOLOGNA CENTRALE,43.204,cammino
CASTELBOLOGNESE,GENOVA BRIGNOLE,344.045,cammino
CASTELBOLOGNESE,MILANO CENTRALE,470.013,cammino
CASTELBOLOGNESE,PESARO,102.701,cammino
CASTELBOLOGNESE,PIACENZA,398.618,cammino
CASTELBOLOGNESE,RAVENNA,40.716,cammino
CASTELBOLOGNESE,RIMINI,69.301,cammino
CASTELBOLOGNESE,RIMINI VISERBA,73.545,cammino
CASTELBOLOGNESE,RUSSI,24.332,cammino
CASTELLINA CH,EMPOLI,49.365,cammino
CASTELLINA CH,FIRENZE S MARIA NOVELLA,79.6,cammino
CASTELLINA CH,SIENA,14.138,adiacenti
CASTELVETRO,CREMONA,6.091,adiacenti
CASTELVETRO,FIDENZA,27.79,cammino
CAVALLERMAGGIORE,BRA,12.9,cammino
CAVALLERMAGGIORE,CARMAGNOLA,16.13,adiacenti
CAVALLERMAGGIORE,CEVA,57.07,cammino
CAVALLERMAGGIORE,CUNEO,44.05,cammino
CAVALLERMAGGIORE,FOSSANO,18.91,cammino
CAVALLERMAGGIORE,SAVONA,102.71,cammino
CAVALLERMAGGIORE,TORINO LINGOTTO,40.21,cammino
CAVALLERMAGGIORE,TORINO PORTA NUOVA,44.53,cammino
CAVALLERMAGGIORE,TORINO STURA,53.06,cammino
CAVALLERMAGGIORE,VENTIMIGLIA,139.95,cammino
CECINA,FIRENZE S MARIA NOVELLA,131.411,cammino
CECINA,GROSSETO,94.04,cammino
CECINA,MILANO CENTRALE,338.791,cammino
CECINA,PISA CENTRALE,54.15,cammino
CENGIO,FOSSANO,54.76,cammino
CENTALLO,TORINO PORTA NUOVA,75.38,cammino
CERTALDO,CHIUSI C T,127.555,cammino
CERTALDO,EMPOLI,24.905,cammino
CERTALDO,FIRENZE S MARIA NOVELLA,55.14,cammino
CERTALDO,SIENA,38.598,cammino
CESENA,ANCONA,121.483,cammino
