partenza,arrivo,km
ANGUILLARA,VITERBO PORTA FIORENTINA,57.066
ANGUILLARA,VITERBO PORTA ROMANA,55.48
ANTRODOCO BORGO VELINO,TERNI,64.083
ANTRODOCO CENTRO,RIETI,23.986
ANTRODOCO CENTRO,TERNI,64.865
ANVERSA VILLALAGO SCANNO,ROMA TIBURTINA,160.569
APRILIA,CAMPOLEONE,6.077
APRILIA,NETTUNO,19.543
APRILIA,POMEZIA S PALOMBA,15.627
APRILIA,ROMA TERMINI,39.577
APRILIA,ROMA TIBURTINA,39.629
APRILIA,TORRICOLA,27.382
ARAGONA CALDARE,CALTANISSETTA CENTRALE,58.403
ARAGONA CALDARE,CALTANISSETTA XIRBI,64.737
ARAGONA CALDARE,PALERMO CENTRALE,123.43
ARAGONA CALDARE,PALERMO NOTARBARTOLO,127.354
ARBIA,CHIUSI CHIANCIANO TERME,79.282
ARBOSTELLA,SALERNO,4.599
ARCE,AVEZZANO,70.146
ARDARA,SASSARI,36.309
ARDENNO MASINO,COLICO,22.942
ARDENNO MASINO,LECCO,61.921
ARDENNO MASINO,MILANO CENTRALE,110.657
ARDENNO MASINO,SONDRIO,17.523
ARECHI,MERCATELLO,2.225
ARECHI,SALERNO,5.663
ARECHI,TORRIONE,4.004
ARENA PO,BRESSANA BOTTARONE,21.444
ARENA PO,MILANO GRECO PIRELLI,71.99
ARENA PO,PIACENZA,28.526
AREZZO,ANCONA,245.025
AREZZO,BOLOGNA CENTRALE,158.337
AREZZO,CHIUSI CHIANCIANO TERME,56.422
AREZZO,COMPIOBBI,65.262
AREZZO,FIGLINE VALDARNO,43.991
AREZZO,FIRENZE CAMPO MARTE,64.773
AREZZO,FIRENZE CASTELLO,72.218
AREZZO,FIRENZE RIFREDI,69.613
AREZZO,FIRENZE S MARIA NOVELLA,68.738
AREZZO,FOLIGNO,116.832
AREZZO,INCISA,47.948
AREZZO,LATERINA,21.518
AREZZO,LUCCA,144.141
AREZZO,MILANO CENTRALE,373.018
AREZZO,MONTEVARCHI TERRANUOVA,31.029
AREZZO,NAPOLI CENTRALE,408.006
AREZZO,ORTE,131.804
AREZZO,PERUGIA,77.252
AREZZO,PISTOIA,100.286
AREZZO,PONTASSIEVE,63.701
AREZZO,PONTICINO,16.15
AREZZO,PRATO CENTRALE,83.232
AREZZO,RIGNANO SULL ARNO REGGELLO,55.5
AREZZO,ROMA OSTIENSE,201.417
AREZZO,ROMA TERMINI,198.555
AREZZO,ROMA TIBURTINA,194.05
AREZZO,S GIOVANNI VALDARNO,36.457
AREZZO,SESTRI LEVANTE,260.507
AREZZO,SPOLETO,141.952
AREZZO,TERNI,159.33
AREZZO,TERONTOLA CORTONA,34.632
AREZZO,VIAREGGIO,166.669
ARGENTA,FERRARA,33.118
ARGENTA,LAVEZZOLA,7.506
ARGENTA,RAVENNA,39.502
ARGENTA,RIMINI,89.342
ARIANO IRPINO,ROMA TERMINI,298.17
ARONA,BORGO TICINO,8.229
ARONA,BUSTO ARSIZIO,32.729
ARONA,CASORATE SEMPIONE,20.874
ARONA,DOMODOSSOLA,55.558
ARONA,DORMELLETTO PAESE,3.254
ARONA,GALLARATE,25.628
ARONA,MARANO TICINO,15.618
ARONA,MILANO CENTRALE,68.088
ARONA,MILANO CERTOSA,59.562
ARONA,MILANO PORTA GARIBALDI,64.311
ARONA,NOVARA,35.741
ARONA,OLEGGIO,19.153
ARONA,PARABIAGO,42.724
ARONA,PREMOSELLO CHIOVENDA,40.016
ARONA,RHO,51.739
ARONA,SESTO CALENDE,8.633
ARONA,SOMMA LOMBARDO,18.14
ARONA,STRESA,17.339
ARONA,VERBANIA PALLANZA,26.074
ARQUATA SCRIVIA,ALBENGA,110.04
ARQUATA SCRIVIA,ALESSANDRIA,33.056
ARQUATA SCRIVIA,BOLOGNA CENTRALE,246.583
ARQUATA SCRIVIA,BUSALLA,15.737
ARQUATA SCRIVIA,GENOVA BOLZANETO,30.219
ARQUATA SCRIVIA,GENOVA BRIGNOLE,38.426
ARQUATA SCRIVIA,GENOVA PIAZZA PRINCIPE,35.787
ARQUATA SCRIVIA,GENOVA PONTEDECIMO,26.157
ARQUATA SCRIVIA,GENOVA SAMPIERDARENA,34.611
ARQUATA SCRIVIA,ISOLA DEL CANTONE,10.073
ARQUATA SCRIVIA,MILANO CENTRALE,103.762
ARQUATA SCRIVIA,MILANO CERTOSA,107.422
ARQUATA SCRIVIA,MILANO GRECO PIRELLI,103.844
ARQUATA SCRIVIA,MILANO LAMBRATE,99.964
ARQUATA SCRIVIA,MILANO PORTA GARIBALDI,105.652
ARQUATA SCRIVIA,MILANO ROGOREDO,94.176
ARQUATA SCRIVIA,PAVIA,65.573
ARQUATA SCRIVIA,PIACENZA,99.109
ARQUATA SCRIVIA,PIETRABISSARA,5.305
ARQUATA SCRIVIA,RIMINI,357.67
ARQUATA SCRIVIA,RONCO SCRIVIA,10.484
ARQUATA SCRIVIA,SAVONA,72.689
ARQUATA SCRIVIA,SERRAVALLE SCRIVIA,4.319
ARQUATA SCRIVIA,SESTRI LEVANTE,81.002
ARQUATA SCRIVIA,TORINO LINGOTTO,118.813
ARQUATA SCRIVIA,TORINO PORTA NUOVA,123.131
ARQUATA SCRIVIA,TORTONA,24.511
ARQUATA SCRIVIA,VOGHERA,40.714
ASCEA,NAPOLI CENTRALE,131.686
ASCIANO,CHIUSI CHIANCIANO TERME,57.325
ASCIANO,EMPOLI,94.681
ASCIANO,GROSSETO,96.004
ASCIANO,ROMA OSTIENSE,203.167
ASCIANO,SIENA,31.671
ASCOLI PICENO,ANCONA,117.075
ASCOLI PICENO,CIVITANOVA MARCHE MONTEGRANARO,74.37
ASCOLI PICENO,LORETO,93.573
ASCOLI PICENO,OFFIDA CASTEL LAMA,11.984
ASCOLI PICENO,PORTO D ASCOLI,27.798
ASCOLI PICENO,PORTO S GIORGIO FERMO,58.776
ASCOLI PICENO,S BENEDETTO DEL TRONTO,32.582
ASOLA,BRESCIA,40.088
ASOLA,PARMA,51.054
ASOLA,VISANO,10.988
ASSISI,FIRENZE S MARIA NOVELLA,166.613
ASSISI,FOLIGNO,15.639
ASSISI,ORTE,97.515
ASSISI,PERUGIA,23.941
ASSISI,ROMA S PIETRO,186.616
ASSISI,ROMA TERMINI,178.916
ASSISI,TERNI,69.989
ASSISI,TERONTOLA CORTONA,66.561
ASSISI,VENTIMIGLIA,545.452
ASSO,CARUGO GIUSSANO,21.133
ASSO,CORMANO CUSANO MILANINO,41.185
ASSO,ERBA,7.08
ASSO,LAMBRUGO LURAGO D ERBA,13.507
ASSO,LEZZA CARPESINO,6.076
ASSO,MARIANO COMENSE,23.05
ASSO,MEDA,26.959
ASSO,MILANO AFFORI,43.97
ASSO,MILANO BOVISA,46.247
ASSO,MILANO BRUZZANO PARCO NORD,42.567
ASSO,MILANO CADORNA,50.412
ASSO,PALAZZOLO MILANESE,36.945
ASTI,ACQUI TERME,45.465
ASTI,ALBA,33.558
ASTI,ALESSANDRIA,34.296
ASTI,ANCONA,482.324
ASTI,CAMBIANO SANTENA,39.338
ASTI,CASTAGNOLE DELLE LANZE,20.128
ASTI,CHIVASSO,80.643
ASTI,GENOVA BRIGNOLE,105.778
ASTI,GENOVA SAMPIERDARENA,100.256
ASTI,LUINO,166.87
ASTI,MILANO CENTRALE,132.953
ASTI,MILANO LAMBRATE,129.155
ASTI,MILANO PORTA GARIBALDI,134.843
ASTI,MILANO ROGOREDO,124.819
ASTI,MOMBARUZZO,32.3
ASTI,MONCALIERI,47.769
ASTI,MONTEGROSSO,12.107
ASTI,NIZZA MONFERRATO,24.955
ASTI,NOVI LIGURE,55.903
ASTI,PAVIA,96.216
ASTI,PESARO,422.75
ASTI,ROMA TERMINI,593.695
ASTI,S DAMIANO D ASTI,7.166
ASTI,SALERNO,851.035
ASTI,SPINETTA,41.864
ASTI,TORINO AEROPORTO CASELLE,74.536
ASTI,TORINO LINGOTTO,51.461
ASTI,TORINO PORTA NUOVA,55.779
ASTI,TORINO REBAUDENGO FOSSATA,60.82
ASTI,TORINO STURA,64.303
ASTI,TORTONA,56.211
ASTI,TROFARELLO,42.749
ASTI,VENARIA REALE REGGIA,67.186
ASTI,VILLANOVA D ASTI,25.619
ASTI,VOGHERA,72.414
ATTIGLIANO BOMARZO,ORTE,13.59
ATTIGLIANO BOMARZO,VITERBO PORTA FIORENTINA,39.062
AUGUSTA,AVOLA,52.658
AUGUSTA,BICOCCA,48.611
AUGUSTA,CASSIBILE,43.57
AUGUSTA,CATANIA CENTRALE,56.038
AUGUSTA,ISPICA,80.265
AUGUSTA,MESSINA CENTRALE,150.809
AUGUSTA,MODICA,118.614
AUGUSTA,NOTO,59.157
AUGUSTA,POZZALLO,88.674
AUGUSTA,PRIOLO MELILLI,13.283
AUGUSTA,RAGUSA,138.159
AUGUSTA,RAGUSA IBLA,129.378
AUGUSTA,ROSOLINI,74.655
AUGUSTA,SAMPIERI,98.629
AUGUSTA,SCICLI,108.906
AUGUSTA,SIRACUSA,26.916
AULLA LUNIGIANA,BAGNI LUCCA,66.618
AULLA LUNIGIANA,CASTELNUOVO GARFAGNANA,44.999
AULLA LUNIGIANA,DIECIMO PESCAGLIA,73.506
AULLA LUNIGIANA,EMPOLI,124.578
AULLA LUNIGIANA,FIRENZE S MARIA NOVELLA,155.128
AULLA LUNIGIANA,FORNACI BARGA,57.992
AULLA LUNIGIANA,FORNOVO,75.57
AULLA LUNIGIANA,FORTE DEI MARMI SERAVEZZA QUERCETA,42.296
AULLA LUNIGIANA,GENOVA BRIGNOLE,104.884
AULLA LUNIGIANA,GRAGNOLA,13.811
AULLA LUNIGIANA,LA SPEZIA CENTRALE,20.842
