partenza,arrivo,corse,con_misura,con_durata,durata_tot,ritardo_tot,in_ritardo,mesi,primo_mese,ultimo_mese,km,qualita_km,durata_media_min,ritardo_medio_min,min_per_100km,ritardo_per_100km,km_h_programmati,km_h_effettivi,pct_ritardo,attraversa_stretto
ANGUILLARA,ROMA TIBURTINA,1799,1779,1799,124289.0000,4938,206,80,2019-10,2026-07,38.6100,ufficiale,69.0878,2.7757,178.9376,7.1891,33.5312,32.2361,11.5795,False
ALBAIRATE VERMEZZO,MILANO GRECO PIRELLI,793,746,791,43697.0000,4628,232,65,2019-10,2026-07,31.1600,ufficiale,55.2427,6.2038,177.2873,19.9093,33.8434,30.4265,31.0992,False
GUASTALLA,S LAZZARO,6441,6386,6441,348996.0000,29646,2632,43,2020-02,2025-03,30.6900,stimata,54.1835,4.6423,176.5510,15.1266,33.9845,31.3026,41.2152,False
MALPENSA AEROPORTO T1,NOVATE MILANESE,619,569,619,43881.0000,2,0,23,2021-05,2023-03,40.3000,ufficiale,70.8901,0.0035,175.9061,0.0087,34.1091,34.1074,0.0000,False
MALPENSA AEROPORTO TERMINAL 2,STABIO,12492,12278,12492,874276.0000,22440,1413,17,2025-03,2026-07,39.9500,stimata,69.9869,1.8277,175.1862,4.5749,34.2493,33.3776,11.5084,False
COLICO,LECCO MAGGIANICO,16138,15899,16137,1095519.0000,64991,4400,78,2019-10,2026-07,38.9800,ufficiale,67.8886,4.0877,174.1628,10.4868,34.4505,32.4940,27.6747,False
CUNEO,VENTIMIGLIA,3416,3321,3415,566195.0000,7992,443,47,2019-10,2026-07,95.9000,confermata,165.7965,2.4065,172.8848,2.5094,34.7052,34.2087,13.3394,False
BRACCIANO,ROMA OSTIENSE,13192,12764,13192,1013398.0000,26941,1467,81,2019-10,2026-07,44.4400,ufficiale,76.8191,2.1107,172.8603,4.7496,34.7101,33.7819,11.4933,False
CESANO ROMA,MONTEROTONDO MENTANA,2825,2719,2825,274895.0000,5414,308,17,2025-03,2026-07,56.4800,ufficiale,97.3080,1.9912,172.2875,3.5254,34.8255,34.1272,11.3277,False
PARMA,SUZZARA,29285,28910,29282,2196791.0000,107584,7293,74,2019-10,2026-07,43.7700,ufficiale,75.0219,3.7213,171.4003,8.5020,35.0058,33.3514,25.2266,False
GENOVA PIAZZA PRINCIPE,SESTRI LEVANTE,1716,1682,1716,132632.0000,5896,467,17,2025-03,2026-07,45.2200,ufficiale,77.2914,3.5054,170.9230,7.7518,35.1035,33.5806,27.7646,False
GENOVA P PRINCIPE,SESTRI LEVANTE,3848,3813,3848,295385.0000,12780,950,66,2019-10,2025-03,45.1800,confermata,76.7633,3.3517,169.9054,7.4185,35.3138,33.8364,24.9148,False
GENOVA VOLTRI,LA SPEZIA CENTRALE,2509,2509,2509,429541.0000,7490,462,76,2019-10,2026-06,100.9600,ufficiale,171.2001,2.9853,169.5722,2.9569,35.3832,34.7768,18.4137,False
MARTINA FRANCA,TARANTO,3028,2837,3028,178336.0000,17864,810,18,2025-02,2026-07,34.8500,ufficiale,58.8956,6.2968,168.9975,18.0683,35.5035,32.0743,28.5513,False
GENOVA VOLTRI,SARZANA,495,445,495,96105.0000,2033,140,27,2023-06,2026-07,115.9300,ufficiale,194.1515,4.5685,167.4731,3.9408,35.8267,35.0030,31.4607,False
GALLARATE,MILANO CENTRALE,11922,11609,11922,847683.0000,31271,2339,20,2020-07,2026-07,42.4600,ufficiale,71.1024,2.6937,167.4574,6.3441,35.8300,34.5221,20.1482,False
GENOVA BRIGNOLE,SESTRI LEVANTE,4302,4115,4302,306279.0000,13086,757,82,2019-10,2026-07,42.5800,ufficiale,71.1946,3.1801,167.2019,7.4685,35.8848,34.3504,18.3961,False
SAVONA,SESTRI LEVANTE,87288,80417,87271,12760924.0000,192419,11219,82,2019-10,2026-07,87.5300,ufficiale,146.2218,2.3928,167.0534,2.7337,35.9167,35.3384,13.9510,False
BENEVENTO,SALERNO,988,983,986,128058.0000,5573,240,10,2019-10,2020-12,77.8300,confermata,129.8763,5.6694,166.8717,7.2843,35.9558,34.4519,24.4151,False
MONTEVARCHI TERRANUOVA,VERNIO MONTEPIANO CANTAGALLO,1327,1320,1327,171642.0000,624,26,67,2019-10,2026-07,77.6200,ufficiale,129.3459,0.4727,166.6399,0.6090,36.0058,35.8747,1.9697,False
PALERMO CENTRALE,PIRAINETO,560,536,560,29530.0000,799,32,35,2019-10,2026-07,31.6800,ufficiale,52.7321,1.4907,166.4525,4.7054,36.0463,35.0554,5.9701,False
BRACCIANO,ROMA TIBURTINA,44572,44012,44566,3833959.0000,102798,5552,81,2019-10,2026-07,51.8100,ufficiale,86.0288,2.3357,166.0467,4.5082,36.1344,35.1793,12.6147,False
MILANO PORTA GARIBALDI,PIACENZA,2478,2382,2478,291880.0000,12850,853,31,2019-10,2026-07,70.9400,ufficiale,117.7885,5.3946,166.0397,7.6045,36.1359,34.5534,35.8102,False
MILANO CERTOSA,TREVIGLIO,7911,7697,7907,501563.0000,21729,1213,82,2019-10,2026-07,38.2300,ufficiale,63.4328,2.8230,165.9241,7.3844,36.1611,34.6204,15.7594,False
GUASTALLA,REGGIO S LAZZARO,4398,4333,4398,223417.0000,8951,614,17,2025-03,2026-07,30.6400,ufficiale,50.7997,2.0658,165.7953,6.7421,36.1892,34.7751,14.1703,False
CASERTA,POZZUOLI SOLFATARA,1810,1751,1810,144755.0000,7149,357,78,2019-10,2026-07,48.2400,ufficiale,79.9751,4.0828,165.7859,8.4635,36.1912,34.4334,20.3883,False
PESCIA,PISA CENTRALE,308,305,308,23585.0000,631,32,13,2020-08,2026-04,46.1900,ufficiale,76.5747,2.0689,165.7819,4.4790,36.1921,35.2400,10.4918,False
ASSO,MILANO CADORNA,65795,65407,65793,5471581.0000,193472,14110,82,2019-10,2026-07,50.4100,ufficiale,83.1636,2.9580,164.9744,5.8678,36.3693,35.1201,21.5726,False
MONTEVARCHI TERRANUOVA,PRATO CENTRALE,9190,9043,9190,865814.0000,14578,899,80,2019-10,2026-07,57.1100,ufficiale,94.2126,1.6121,164.9669,2.8228,36.3709,35.7590,9.9414,False
LODI,MILANO BOVISA,19685,17620,19667,1220360.0000,21857,1345,81,2019-10,2026-07,37.6400,ufficiale,62.0512,1.2405,164.8543,3.2956,36.3958,35.6825,7.6334,False
TIVOLI,VAL D ALA,656,631,656,45456.0000,1136,48,22,2023-06,2025-06,42.0500,ufficiale,69.2927,1.8003,164.7864,4.2814,36.4108,35.4887,7.6070,False
ROMA TIBURTINA,TIVOLI,18781,18352,18781,1182191.0000,30154,1651,40,2023-04,2026-07,38.2600,ufficiale,62.9461,1.6431,164.5220,4.2945,36.4693,35.5415,8.9963,False
RECCO,SAVONA,3242,3147,3242,333023.0000,5809,312,81,2019-10,2026-07,62.4400,ufficiale,102.7215,1.8459,164.5123,2.9563,36.4714,35.8276,9.9142,False
COMO S GIOVANNI,LECCO MAGGIANICO,11524,11169,11523,790520.0000,34536,2069,79,2019-10,2026-07,41.7200,ufficiale,68.6037,3.0921,164.4383,7.4116,36.4878,34.9142,18.5245,False
MERONE,MILANO CADORNA,1474,1473,1474,95333.0000,8102,566,14,2025-06,2026-07,39.3400,ufficiale,64.6764,5.5003,164.4036,13.9815,36.4955,33.6351,38.4250,False
RHO,TREVIGLIO,2283,2213,2283,172109.0000,4310,185,48,2019-10,2026-07,46.0500,ufficiale,75.3872,1.9476,163.7073,4.2293,36.6508,35.7278,8.3597,False
LODI,SARONNO,54843,53413,54839,4875416.0000,115081,8726,79,2019-10,2026-07,54.6300,ufficiale,88.9042,2.1546,162.7387,3.9439,36.8689,35.9966,16.3368,False
ALBAIRATE VERMEZZO,SEREGNO,11915,11298,11896,942935.0000,57489,3035,79,2019-10,2026-07,49.4100,ufficiale,79.2649,5.0884,160.4227,10.2984,37.4012,35.1450,26.8632,False
LECCO MAGGIANICO,SESTO S GIOVANNI,494,490,494,32929.0000,6681,314,47,2019-10,2026-07,41.6700,ufficiale,66.6579,13.6347,159.9662,32.7206,37.5079,31.1386,64.0816,False
LA SPEZIA CENTRALE,SAVONA,8438,8343,8438,1739204.0000,28801,1772,82,2019-10,2026-07,129.0000,ufficiale,206.1157,3.4521,159.7796,2.6761,37.5517,36.9332,21.2394,False
MELITO PORTO SALVO,VILLA S GIOVANNI,12180,12089,12180,854308.0000,10012,304,58,2019-10,2026-07,43.9000,ufficiale,70.1402,0.8282,159.7727,1.8865,37.5533,37.1151,2.5147,False
LAMEZIA TERME CENTRALE,SIBARI,1270,1259,1270,261767.0000,4203,278,46,2019-10,2025-07,129.2300,ufficiale,206.1157,3.3384,159.4953,2.5833,37.6187,37.0191,22.0810,False
LUCCA,MONTECATINI TERME,2909,2641,2909,142097.0000,5529,397,45,2019-10,2025-03,30.6300,stimata,48.8474,2.0935,159.4756,6.8349,37.6233,36.0771,15.0322,False
AREZZO,VERNIO MONTEPIANO CANTAGALLO,1371,762,1371,226580.0000,2382,147,67,2019-10,2026-07,103.7400,ufficiale,165.2662,3.1260,159.3081,3.0133,37.6629,36.9637,19.2913,False
MONTECATINI TERME,PISA CENTRALE,905,839,904,77084.0000,1572,112,42,2019-10,2025-03,53.6000,stimata,85.2699,1.8737,159.0857,3.4956,37.7155,36.9046,13.3492,False
PALERMO AEROPORTO,PALERMO CENTRALE,31664,30655,31664,1796677.0000,36665,1503,17,2025-03,2026-07,35.6700,ufficiale,56.7419,1.1961,159.0747,3.3531,37.7181,36.9395,4.9030,False
FIRENZE CAMPO MARTE,MONTEVARCHI TERRANUOVA,2970,2903,2968,182454.0000,5100,323,80,2019-10,2026-07,38.6500,ufficiale,61.4737,1.7568,159.0523,4.5454,37.7234,36.6753,11.1264,False
LECCO MAGGIANICO,MILANO PORTA GARIBALDI,202892,198623,202822,14847753.0000,640649,43827,82,2019-10,2026-07,46.1500,ufficiale,73.2058,3.2255,158.6259,6.9891,37.8249,36.2286,22.0654,False
FIRENZE CAMPO MARTE,PISTOIA,1700,1685,1700,95713.0000,4453,375,77,2019-10,2026-07,35.5100,ufficiale,56.3018,2.6427,158.5519,7.4422,37.8425,36.1459,22.2552,False
LECCO MAGGIANICO,MORBEGNO,716,708,716,61706.0000,3537,233,22,2021-09,2026-05,54.3700,ufficiale,86.1816,4.9958,158.5094,9.1885,37.8526,35.7786,32.9096,False
GUASTALLA,PARMA,915,906,915,45952.0000,2270,110,47,2020-11,2026-07,31.6900,ufficiale,50.2208,2.5055,158.4751,7.9063,37.8608,36.0617,12.1413,False
GENOVA QUARTO DEI MILLE,SAVONA,739,734,738,57856.0000,3182,199,31,2019-10,2026-07,49.5300,ufficiale,78.3957,4.3351,158.2792,8.7526,37.9077,35.9213,27.1117,False
BENEVENTO,NAPOLI CENTRALE,16287,13157,16283,1904478.0000,73959,3670,82,2019-10,2026-07,74.0600,stimata,116.9611,5.6213,157.9275,7.5902,37.9921,36.2499,27.8939,False
PIOLTELLO LIMITO,VARESE,1148,1139,1148,113665.0000,8055,293,80,2019-10,2026-07,62.7100,ufficiale,99.0113,7.0720,157.8876,11.2773,38.0017,35.4683,25.7243,False
NAPOLI S GIOV BARRA,SALERNO,1599,1327,1598,117434.0000,6400,214,59,2019-10,2025-03,46.9000,stimata,73.4881,4.8229,156.6911,10.2834,38.2919,35.9336,16.1266,False
CESANO ROMA,FARA SABINA,1141,1136,1141,123228.0000,821,34,64,2019-10,2025-03,69.0000,stimata,108.0000,0.7227,156.5217,1.0474,38.3333,38.0785,2.9930,False
RIVAROLO,TORINO LINGOTTO,1741,1697,1741,108111.0000,5385,290,43,2019-10,2026-07,39.6800,stimata,62.0971,3.1732,156.4946,7.9971,38.3400,36.4760,17.0890,False
GENOVA BRIGNOLE,SAVONA,20500,19830,20495,1439366.0000,53572,3232,82,2019-10,2026-07,44.9600,ufficiale,70.2301,2.7016,156.2057,6.0088,38.4109,36.9880,16.2985,False
BRA,GERMAGNANO,598,590,598,79704.0000,2165,86,13,2025-05,2026-07,85.7100,ufficiale,133.2843,3.6695,155.5061,4.2813,38.5837,37.5499,14.5763,False
MONTEVARCHI TERRANUOVA,PISTOIA,12324,12201,12324,1417750.0000,20647,1360,81,2019-10,2026-07,74.1600,ufficiale,115.0398,1.6922,155.1237,2.2819,38.6788,38.1181,11.1466,False
LA SPEZIA CENTRALE,SESTRI LEVANTE,66666,61809,66663,4284030.0000,148228,10644,82,2019-10,2026-07,41.4700,ufficiale,64.2640,2.3982,154.9650,5.7829,38.7184,37.3255,17.2208,False
CODOGNO,PAVIA,39402,38609,39396,2830067.0000,124711,9010,82,2019-10,2026-07,46.4800,ufficiale,71.8364,3.2301,154.5534,6.9494,38.8215,37.1511,23.3365,False
ALBA,GERMAGNANO,6584,6503,6584,1049591.0000,12884,732,13,2025-05,2026-07,103.2000,ufficiale,159.4154,1.9812,154.4723,1.9198,38.8419,38.3651,11.2563,False
CASSANO D ADDA,VARESE,364,358,364,43546.0000,5442,238,50,2020-01,2026-07,77.5600,ufficiale,119.6319,15.2011,154.2443,19.5992,38.8993,34.5138,66.4804,False
ROMA TIBURTINA,VELLETRI,13205,12758,13203,836004.0000,26427,1589,76,2019-10,2026-07,41.0600,ufficiale,63.3192,2.0714,154.2115,5.0448,38.9076,37.6751,12.4549,False
PALERMO CENTRALE,PUNTA RAISI,127461,126388,127438,7055021.0000,104238,2760,66,2019-10,2025-03,35.9200,stimata,55.3604,0.8247,154.1214,2.2961,38.9303,38.3589,2.1838,False
ROMA TERMINI,TIVOLI,4669,4635,4668,283382.0000,10282,624,82,2019-10,2026-07,39.5700,ufficiale,60.7074,2.2183,153.4177,5.6061,39.1089,37.7302,13.4628,False
LODI,MILANO LANCETTI,20999,20928,20998,1150997.0000,24592,1587,39,2021-11,2025-03,35.7300,ufficiale,54.8146,1.1751,153.4134,3.2888,39.1100,38.2892,7.5831,False
AULLA LUNIGIANA,LUCCA,10750,10472,10749,1290563.0000,34043,2382,66,2019-10,2026-06,78.3100,ufficiale,120.0635,3.2509,153.3183,4.1513,39.1343,38.1026,22.7464,False
LAMEZIA TERME CENTRALE,ROSARNO,13872,12963,13871,1272002.0000,23921,1145,66,2019-10,2026-07,59.8200,ufficiale,91.7023,1.8453,153.2970,3.0848,39.1397,38.3676,8.8328,False
TREVIGLIO,VARESE,137609,133151,137586,17572335.0000,387978,25971,82,2019-10,2026-07,83.4700,ufficiale,127.7189,2.9138,153.0118,3.4909,39.2127,38.3380,19.5049,False
CASERTA,NAPOLI CAMPI FLEGREI,45343,44106,45324,3096300.0000,152286,9479,82,2019-10,2026-07,44.7000,ufficiale,68.3148,3.4527,152.8295,7.7242,39.2594,37.3707,21.4914,False
BORGO S LORENZO,PONTASSIEVE,5458,5377,5458,272082.0000,9826,571,77,2019-10,2026-07,32.6800,ufficiale,49.8501,1.8274,152.5402,5.5918,39.3339,37.9430,10.6193,False
ERBA,MILANO CADORNA,20983,20958,20983,1386777.0000,72107,6194,77,2019-10,2026-03,43.3300,ufficiale,66.0905,3.4405,152.5283,7.9403,39.3370,37.3905,29.5543,False
FIRENZE CAMPO MARTE,VERNIO MONTEPIANO CANTAGALLO,1827,1749,1827,108472.0000,3791,280,53,2019-10,2026-07,38.9700,ufficiale,59.3716,2.1675,152.3522,5.5620,39.3824,37.9953,16.0091,False
NAPOLI CENTRALE,NOCERA INFERIORE,953,826,953,52870.0000,2866,158,36,2019-10,2026-02,36.4800,ufficiale,55.4774,3.4697,152.0763,9.5113,39.4539,37.1316,19.1283,False
COMO S GIOVANNI,RHO,32743,32409,32737,2889070.0000,96413,6832,74,2019-10,2026-06,58.1100,ufficiale,88.2509,2.9749,151.8687,5.1194,39.5078,38.2195,21.0806,False
MANDELA SAMBUCI,ROMA TIBURTINA,3128,3109,3128,249183.0000,4979,236,24,2023-04,2025-03,52.5100,stimata,79.6621,1.6015,151.7084,3.0499,39.5496,38.7701,7.5909,False
FIRENZE S MARIA NOVELLA,RIMINI,304,300,304,74758.0000,1178,51,8,2020-07,2022-08,162.6400,ufficiale,245.9145,3.9267,151.2017,2.4143,39.6821,39.0584,17.0000,False
COMO S GIOVANNI,MILANO CERTOSA,793,780,792,59936.0000,6310,391,69,2019-10,2026-06,50.2800,ufficiale,75.6768,8.0897,150.5107,16.0894,39.8643,36.0144,50.1282,False
RIVAROLO,TROFARELLO,627,625,627,45521.0000,5553,267,37,2019-10,2026-07,48.3700,stimata,72.6013,8.8848,150.0957,18.3684,39.9745,35.6159,42.7200,False
CORTEOLONA,CREMONA,513,507,513,42061.0000,2449,184,24,2020-11,2026-07,54.7100,ufficiale,81.9903,4.8304,149.8634,8.8291,40.0365,37.8090,36.2919,False
ROMA TIBURTINA,VALLE DELL ANIENE MANDELA SAMBUCI,2021,1999,2021,158451.0000,2814,122,17,2025-03,2026-07,52.3400,ufficiale,78.4023,1.4077,149.7942,2.6895,40.0550,39.3485,6.1031,False
AVEZZANO,SORA,1202,1177,1202,89745.0000,2306,104,39,2019-10,2026-07,49.8800,ufficiale,74.6631,1.9592,149.6854,3.9279,40.0841,39.0591,8.8360,False
FIRENZE RIFREDI,MONTEVARCHI TERRANUOVA,1706,1679,1705,110803.0000,4902,332,81,2019-10,2026-07,43.4900,ufficiale,64.9871,2.9196,149.4300,6.7133,40.1526,38.4263,19.7737,False
ROMA TERMINI,VELLETRI,73641,72503,73637,4507488.0000,171255,8700,80,2019-10,2026-07,41.0100,ufficiale,61.2123,2.3620,149.2618,5.7597,40.1978,38.7043,11.9995,False
EDOLO,ISEO,549,546,549,62997.0000,1551,33,32,2019-12,2025-02,77.0000,ufficiale,114.7486,2.8407,149.0242,3.6892,40.2619,39.2893,6.0440,False
PIAZZA AL SERCHIO,PISA CENTRALE,5211,5194,5211,624194.0000,16927,901,67,2019-10,2026-06,80.4600,ufficiale,119.7839,3.2590,148.8739,4.0504,40.3026,39.2351,17.3469,False
FIUMICINO AEROPORTO,ROMA TIBURTINA,15489,15203,15482,737884.0000,21653,1126,82,2019-10,2026-07,32.0800,ufficiale,47.6608,1.4243,148.5685,4.4397,40.3854,39.2136,7.4064,False
FAENZA,MARRADI PALAZZUOLO SUL SENIO,2116,1826,2116,107919.0000,1092,40,9,2025-04,2026-04,34.3300,ufficiale,51.0014,0.5980,148.5622,1.7420,40.3871,39.9190,2.1906,False
GENOVA BRIGNOLE,PRASCO CREMOLINO,1963,1956,1962,155610.0000,12072,925,7,2019-12,2026-07,53.5600,ufficiale,79.3119,6.1718,148.0805,11.5231,40.5185,37.5931,47.2904,False
LEVANTO,SARZANA,3646,3622,3646,189539.0000,15280,1280,55,2019-10,2026-07,35.1500,ufficiale,51.9855,4.2187,147.8961,12.0019,40.5690,37.5239,35.3396,False
SCHIO,VICENZA,64885,62665,64877,2989852.0000,49667,2344,81,2019-10,2026-07,31.1800,ufficiale,46.0849,0.7926,147.8029,2.5419,40.5946,39.9083,3.7405,False
CASTELNUOVO GARFAGNANA,PISA CENTRALE,4114,4082,4114,411892.0000,8779,505,33,2019-11,2026-07,68.0000,ufficiale,100.1196,2.1507,147.2347,3.1627,40.7513,39.8943,12.3714,False
UDINE,VILLA OPICINA,3837,3807,3837,409104.0000,10400,549,73,2019-10,2026-07,72.4400,ufficiale,106.6208,2.7318,147.1850,3.7711,40.7650,39.7467,14.4208,False
ACQUI TERME,GENOVA BRIGNOLE,44664,44336,44653,3971659.0000,179632,11344,80,2019-10,2026-07,60.5000,ufficiale,88.9450,4.0516,147.0165,6.6969,40.8118,39.0337,25.5864,False
CHIERI,RIVAROLO,33044,32310,33042,2761284.0000,80722,4663,58,2019-10,2026-07,56.9500,stimata,83.5689,2.4984,146.7408,4.3869,40.8884,39.7015,14.4321,False
CREMONA,PAVIA,10341,10168,10341,1117773.0000,37655,2144,82,2019-10,2026-07,73.8100,ufficiale,108.0914,3.7033,146.4454,5.0173,40.9709,39.6137,21.0858,False
LECCO MAGGIANICO,SONDRIO,32418,32016,32416,3766721.0000,120535,7551,76,2019-10,2026-07,79.4400,ufficiale,116.1994,3.7648,146.2732,4.7392,41.0191,39.7318,23.5851,False
CATANIA AEROPORTO FONTANAROSSA,TAORMINA,1969,1956,1969,148984.0000,2344,104,16,2023-12,2025-03,51.7900,stimata,75.6648,1.1984,146.0993,2.3139,41.0680,40.4277,5.3170,False
BUSTO ARSIZIO,TREVIGLIO,618,575,618,58492.0000,5310,208,54,2019-10,2026-07,65.0600,ufficiale,94.6472,9.2348,145.4769,14.1943,41.2437,37.5772,36.1739,False
AREZZO,PRATO CENTRALE,7043,6790,7043,852441.0000,18169,1167,82,2019-10,2026-07,83.2300,ufficiale,121.0338,2.6758,145.4209,3.2150,41.2596,40.3671,17.1870,False
FIRENZE S MARIA NOVELLA,S GIOVANNI VALDARNO,364,361,364,19654.0000,3214,120,48,2019-11,2026-06,37.1900,ufficiale,53.9945,8.9030,145.1855,23.9394,41.3264,35.4767,33.2410,False
CAMNAGO LENTATE,MILANO CADORNA,137802,136914,137789,6098773.0000,221603,17243,82,2019-10,2026-07,30.5500,ufficiale,44.2617,1.6186,144.8828,5.2981,41.4128,39.9518,12.5940,False
