mese,categoria,cod_stazione,ruolo,parzialmente_cancellate,minuti_ritardo_tot,corse_osservate,minuti_anticipo_tot,soppresse,in_anticipo,cancellate,effettuate,oltre_60,in_ritardo,minuti_netti_tot,oltre_15,cancellate_tot,in_orario,info_mancante,oltre_30,oltre_5,oltre_10,nome_stazione,p90,p95,ritardo_mediano,ritardo_medio
2024-06,IC,N_25B9CF10B7D2,arrivo,0,1673.0,103,155.0,0,29,0,103,8,51,1518.0,26,0,22,0,15,51,35,BOLOGNA C.LE,39.80000000000001,73.94999999999999,4.5,14.882352941176476
2024-06,IC,N_25B9CF10B7D2,partenza,0,787.0,94,51.0,0,20,0,94,1,41,736.0,19,0,32,0,4,41,27,BOLOGNA C.LE,22.0,27.199999999999974,4.0,7.913978494623655
2024-06,IC,N_54735EC5B62B,arrivo,0,527.0,2,0.0,0,0,0,2,2,2,527.0,2,0,0,0,2,2,2,VILLA SAN GIOVANNI,275.1,276.55,263.5,263.5
2024-06,IC,N_54735EC5B62B,partenza,0,28.0,3,3.0,0,1,0,3,0,1,25.0,1,0,1,0,0,1,1,VILLA SAN GIOVANNI,20.6,22.8,3.0,8.333333333333334
2024-06,IC,N_66EFE7185ACC,arrivo,0,429.0,21,2.0,0,1,0,21,3,13,427.0,4,0,7,0,3,13,7,GENOVA P.PRINCIPE,66.0,98.0,6.0,20.33333333333333
2024-06,IC,N_66EFE7185ACC,partenza,0,74.0,17,40.0,0,13,0,17,0,4,34.0,3,0,0,0,1,4,4,GENOVA P.PRINCIPE,15.8,19.99999999999999,-2.0,2.0
2024-06,IC,N_6DAD4A05816E,arrivo,0,175.0,18,20.0,0,7,0,18,0,7,155.0,4,0,4,0,3,7,5,FIRENZE S.M.N.,35.70000000000002,49.3,1.5,8.61111111111111
2024-06,IC,N_6DAD4A05816E,partenza,0,259.0,39,61.0,0,13,0,39,0,16,198.0,6,0,10,0,2,16,12,FIRENZE S.M.N.,16.0,27.300000000000008,3.0,5.076923076923077
2024-06,IC,N_DEBAB2A3D4C0,arrivo,0,1216.0,142,507.0,0,77,0,142,6,47,709.0,27,0,18,0,12,47,35,REGGIO CALABRIA CENTRALE,22.0,46.94999999999999,-2.0,4.992957746478873
2024-06,IC,N_DEBAB2A3D4C0,partenza,0,1411.0,156,159.0,0,38,0,156,3,56,1252.0,29,0,62,0,16,56,36,REGGIO CALABRIA CENTRALE,29.5,50.75,3.0,8.025641025641026
