mese,categoria,cod_stazione,in_ritardo,minuti_ritardo_tot,in_orario,cancellate,parzialmente_cancellate,oltre_5,cancellate_tot,oltre_15,minuti_netti_tot,soppresse,minuti_anticipo_tot,effettuate,oltre_60,in_anticipo,oltre_30,corse_osservate,info_mancante,oltre_10,ruolo,nome_stazione,p90,ritardo_mediano,p95,ritardo_medio
2024-06,ICN,S12301,19,671.0,17,0,0,19,0,12,152.0,0,519.0,84,5,48,6,84,0,19,nodo,MESSINA CENTRALE,32.50000000000004,-2.5,50.69999999999997,1.563265306122449
2024-06,ICN,S12349,36,1371.0,10,0,0,36,0,26,1245.0,0,126.0,66,5,20,16,66,0,27,nodo,SIRACUSA,39.35,5.25,59.09999999999993,15.092592592592592
2024-06,IR,S02332,1,43.0,0,0,0,1,0,1,43.0,0,0.0,1,0,0,1,1,0,1,nodo,MOZZECANE,43.0,43.0,43.0,43.0
2024-06,IR,S02336,1,43.0,0,0,0,1,0,1,43.0,0,0.0,1,0,0,1,1,0,1,nodo,MANTOVA,43.0,43.0,43.0,43.0
2024-06,MET,N_4867F34F8972,96,2383.0,1234,0,0,96,0,13,-278.0,0,2661.0,2805,0,1429,1,2805,0,36,nodo,NAPOLI S.GIOV.BARRA,2.0,-0.5,3.5,-0.10600342494194512
2024-06,MET,S09101,101,2474.0,1193,0,0,101,0,18,-223.0,0,2697.0,2762,0,1433,2,2762,0,44,nodo,POZZUOLI SOLFATARA,2.0,-0.5,4.0,-0.0797247133888174
2024-06,MET,S09103,191,3523.0,682,0,0,191,0,55,600.0,0,2923.0,2107,2,1187,9,2107,0,98,nodo,NAPOLI CAMPI FLEGREI,4.0,-0.5,8.75,0.2607250049423986
2024-06,MET,S09110,13,228.0,20,0,0,13,0,5,72.0,0,156.0,91,0,58,1,91,0,10,nodo,NAPOLI GIANTURCO,8.2,-2.0,11.275,0.7492746615087041
2024-06,MET,S09211,72,1277.0,148,0,0,72,0,26,920.0,0,357.0,399,1,169,3,399,0,42,nodo,CASERTA,9.5,0.5,19.05000000000001,2.3922865967303903
2024-06,MET,S09213,13,237.0,8,0,0,13,0,6,232.0,0,5.0,24,0,3,2,24,0,8,nodo,CANCELLO,20.000000000000004,8.0,22.45,9.132867132867132
2024-06,MET,S09215,3,21.0,2,0,0,3,0,0,11.0,0,10.0,10,0,5,0,10,0,0,nodo,ACERRA,2.1,1.5,2.3,1.1
2024-06,MET,S09218,6,49.0,7,0,0,6,0,0,28.0,0,21.0,24,0,9,0,24,0,1,nodo,NAPOLI CENTRALE,5.95,1.5,7.174999999999998,1.433333333333333
2024-06,MET,S09756,3,48.0,53,0,0,3,0,1,48.0,0,0.0,62,0,0,0,62,0,1,nodo,CASTELLAMMARE DI STABIA,5.0,4.5,5.799999999999996,4.854545454545455
2024-06,MET,S09806,6,93.0,16,0,0,6,0,2,-2.0,0,95.0,73,0,51,0,73,0,4,nodo,TORRE ANNUNZIATA CENTRALE,3.250000000000004,-1.25,5.999999999999986,-0.0229323308270676
2024-06,MET,S09814,58,887.0,188,0,0,58,0,7,-4.0,0,891.0,605,1,353,1,605,0,16,nodo,NOCERA INFERIORE,4.5,-1.5,6.75,-0.0420079200792007
