mese,categoria,in_ritardo,cancellate_tot,minuti_anticipo_tot,oltre_5,oltre_10,cancellate,minuti_ritardo_tot,in_orario,corse_osservate,info_mancante,minuti_netti_tot,parzialmente_cancellate,effettuate,oltre_30,oltre_15,in_anticipo,oltre_60,soppresse,ritardo_medio,ritardo_mediano,p95,p90
2024-11,NCL,3,0,136.0,3,3,0,168.0,0,10,0,32.0,0,10,2,2,5,2,0,4.0,-4.5,78.55,76.1
2024-11,REG,40987,0,207244.0,40987,15984,0,682672.0,92773,216597,0,475428.0,0,216597,3126,9277,78451,707,0,2.240355118254944,1.0,13.0,8.0
2024-11,,7000,0,14386.0,7000,4544,0,168894.0,3846,14608,0,154508.0,0,14608,1588,3246,3684,504,0,10.63372333103923,4.0,50.0,31.0
2024-12,EC,393,0,1652.0,393,264,0,8481.0,236,1040,0,6829.0,0,1040,75,176,404,21,0,6.610842207163601,2.0,36.39999999999998,23.0
2024-12,EN,41,0,463.0,41,34,0,1461.0,17,96,0,998.0,0,96,16,29,36,7,0,10.617021276595745,3.5,71.39999999999998,54.0
2024-12,EXP,5,0,10.0,5,4,0,133.0,1,13,0,123.0,0,13,2,3,2,0,0,15.375,7.5,44.89999999999999,42.8
2024-12,IC,1107,0,5494.0,1107,716,0,27852.0,682,2871,0,22358.0,0,2871,244,495,1061,91,0,7.844912280701754,2.0,44.0,24.0
2024-12,ICN,124,0,2101.0,124,78,0,3508.0,99,469,0,1407.0,0,469,37,57,246,17,0,3.0,-1.0,43.0,18.0
2024-12,IR,3,0,10.0,3,3,0,201.0,1,6,0,191.0,0,6,2,3,2,2,0,31.83333333333333,15.5,97.0,85.0
2024-12,MET,446,0,6743.0,446,162,0,8254.0,2695,6295,0,1511.0,0,6295,17,83,3099,3,0,0.2421474358974359,0.0,6.0,3.0
2024-12,NCL,7,0,145.0,7,6,0,254.0,1,13,0,109.0,0,13,2,4,5,1,0,8.384615384615385,7.0,82.19999999999987,43.20000000000002
2024-12,REG,35242,0,205368.0,35242,13095,0,581829.0,91451,208083,0,376461.0,0,208083,2388,7353,79579,487,0,1.825070780328886,1.0,11.0,7.0
2024-12,,6278,0,16302.0,6278,3930,0,137380.0,4358,14962,0,121078.0,0,14962,1226,2730,4318,350,0,8.096696536043869,3.0,40.0,25.0
2025-01,EC,341,0,2040.0,341,196,0,6963.0,255,1108,0,4923.0,0,1108,57,127,478,24,0,4.583798882681564,1.0,30.34999999999991,17.0
2025-01,EN,46,0,365.0,46,38,0,1937.0,21,108,0,1572.0,0,108,17,36,39,10,0,14.830188679245284,2.5,100.25,48.0
2025-01,EXP,3,0,67.0,3,3,0,145.0,1,5,0,78.0,0,5,2,3,1,1,0,15.6,26.0,71.6,63.2
2025-01,IC,1094,0,5098.0,1094,666,0,29375.0,784,3059,0,24277.0,0,3059,247,460,1080,102,0,8.207234617985126,2.0,47.15000000000009,24.0
2025-01,ICN,116,0,1959.0,116,75,0,4051.0,104,501,0,2092.0,0,501,33,59,281,17,0,4.175648702594811,-2.0,40.0,19.0
2025-01,IR,1,0,4.0,1,0,0,14.0,2,5,0,10.0,0,5,0,0,2,0,0,2.0,1.0,7.999999999999998,7.0
2025-01,MET,350,0,7839.0,350,130,0,7253.0,2515,6281,0,-586.0,0,6281,19,76,3229,4,0,-0.0961601575319986,-1.0,5.0,3.0
2025-01,NCL,3,0,182.0,3,1,0,179.0,1,16,0,-3.0,0,16,1,1,5,1,0,-0.3333333333333333,-4.0,100.79999999999994,39.60000000000002
2025-01,REG,30564,0,221411.0,30564,10711,0,518990.0,92349,212473,0,297579.0,0,212473,2059,6095,84397,469,0,1.4354300323187497,0.0,10.0,6.0
2025-01,,5773,0,19890.0,5773,3446,0,134369.0,4505,15326,0,114479.0,0,15326,1218,2469,4753,374,0,7.616100724293656,3.0,41.03301579016051,25.033015790160512
2025-02,DIR,0,0,2.0,0,0,0,0.0,0,1,0,-2.0,0,1,0,0,1,0,0,-2.0,-2.0,-2.0,-2.0
2025-02,EC,302,0,1915.0,302,188,0,6069.0,282,1077,0,4154.0,0,1077,55,127,476,10,0,3.918867924528303,1.0,30.0,17.0
2025-02,EN,42,0,195.0,42,32,0,1393.0,19,92,0,1198.0,0,92,18,28,29,5,0,13.311111111111112,4.0,61.49999999999997,43.10000000000001
2025-02,EXP,2,0,3.0,2,1,0,66.0,0,3,0,63.0,0,3,1,1,1,1,0,21.0,6.0,54.6,49.20000000000001
2025-02,IC,938,0,5626.0,938,552,0,19988.0,707,2807,0,14362.0,0,2807,164,358,1144,55,0,5.14951595553962,1.0,33.0,18.0
2025-02,ICN,97,0,2045.0,97,52,0,2520.0,115,540,0,475.0,0,540,20,39,328,6,0,0.8796296296296297,-2.0,22.049999999999955,9.0
2025-02,IR,2,0,5.0,2,2,0,88.0,1,5,0,83.0,0,5,1,2,2,1,0,16.6,0.0,54.8,47.6
2025-02,MET,285,0,7995.0,285,115,0,6825.0,2474,5989,0,-1170.0,0,5989,27,71,3172,3,0,-0.1972685887708649,-1.0,4.0,3.0
2025-02,NCL,11,0,175.0,11,9,0,601.0,1,17,0,426.0,0,17,6,9,5,4,0,25.058823529411764,17.0,125.6,106.8
2025-02,REG,28514,0,234114.0,28514,9526,0,474189.0,91267,210523,0,240075.0,0,210523,1635,5170,87889,311,0,1.1560408340155053,0.0,9.0,6.0
2025-02,,5726,0,18222.0,5726,3296,0,113998.0,4292,14422,0,95776.0,0,14422,918,2154,4402,272,0,6.641886269070735,3.0,34.0,21.0
2025-03,EC,342,0,2367.0,342,187,0,6545.0,320,1229,0,4178.0,0,1229,51,128,545,13,0,3.461474730737365,1.0,24.0,15.0
2025-03,EN,49,0,552.0,49,36,0,1141.0,23,115,0,589.0,0,115,12,24,43,3,0,5.121739130434783,3.0,42.49999999999999,29.40000000000004
2025-03,EXP,11,0,76.0,11,8,0,345.0,8,31,0,269.0,0,31,4,5,8,3,0,9.962962962962964,2.0,69.19999999999999,57.800000000000026
2025-03,IC,1007,0,6153.0,1007,611,0,22503.0,794,3101,0,16350.0,0,3101,193,404,1284,66,0,5.299837925445705,1.0,35.0,19.0
2025-03,ICN,122,0,1826.0,122,62,0,2341.0,128,545,0,515.0,0,545,14,43,295,6,0,0.944954128440367,-1.0,17.0,11.0
2025-03,IR,2,0,4.0,2,2,0,39.0,0,3,0,35.0,0,3,0,2,1,0,0,11.666666666666666,17.0,21.5,21.0
2025-03,MET,382,0,8581.0,382,176,0,8732.0,2658,6715,0,151.0,0,6715,46,111,3447,7,0,0.0232773238785262,-1.0,5.0,3.0
2025-03,NCL,10,0,615.0,10,7,0,488.0,2,34,0,-127.0,0,34,4,6,19,2,0,-4.096774193548387,-3.0,100.5,40.0
2025-03,REG,30584,0,247024.0,30584,10413,0,507509.0,98058,227579,0,260485.0,0,227579,1759,5754,94425,300,0,1.1677433237547463,0.0,9.0,6.0
2025-03,,5692,0,22792.0,5692,3206,0,123940.0,4772,15874,0,101148.0,0,15874,994,2124,5276,350,0,6.426175349428209,2.0,34.0,20.0
2025-04,EC,387,0,2627.0,387,218,0,7646.0,359,1432,0,5019.0,0,1432,57,140,657,16,0,3.577334283677833,1.0,26.0,14.0
2025-04,EN,67,0,198.0,67,47,0,1856.0,27,116,0,1658.0,0,116,18,37,20,6,0,14.543859649122806,7.0,57.099999999999966,33.7
2025-04,EXP,17,0,11.0,17,13,0,573.0,7,29,0,562.0,0,29,6,11,3,3,0,20.814814814814813,9.0,75.1,55.000000000000064
2025-04,IC,911,0,5996.0,911,552,0,22283.0,736,2920,0,16287.0,0,2920,164,366,1271,68,0,5.5815627141878,1.0,32.15000000000009,18.0
2025-04,ICN,138,0,2053.0,138,99,0,4296.0,102,549,0,2243.0,0,549,46,75,309,21,0,4.085610200364298,-2.0,46.60000000000002,24.0
2025-04,IR,3,0,0.0,3,3,0,121.0,0,3,0,121.0,0,3,1,2,0,1,0,40.333333333333336,15.0,84.3,76.6
2025-04,MET,262,0,9050.0,262,84,0,5906.0,2511,6452,0,-3144.0,0,6452,20,48,3642,5,0,-0.4901013250194855,-1.0,4.0,2.0
2025-04,NCL,6,0,81.0,6,5,0,700.0,1,14,0,619.0,0,14,4,4,2,3,0,68.77777777777777,14.0,280.19999999999993,205.40000000000003
2025-04,REG,30883,0,240113.0,30883,10618,0,516718.0,98902,224813,0,276605.0,0,224813,1887,5937,92807,335,0,1.2426547225416906,0.0,9.0,6.0
2025-04,,5640,0,20966.0,5640,3396,0,135918.0,4456,15228,0,114952.0,0,15228,1164,2392,5132,384,0,7.548726030995534,2.0,41.0,24.0
2025-05,DIR,2,0,0.0,2,2,0,52.0,0,2,0,52.0,0,2,1,2,0,0,0,26.0,26.0,33.2,32.4
2025-05,EC,506,0,2632.0,506,282,0,10970.0,380,1483,0,8338.0,0,1483,72,170,584,33,0,5.672108843537415,2.0,27.0,17.0
2025-05,EN,71,0,47.0,71,55,0,2798.0,28,112,0,2751.0,0,112,18,40,13,11,0,24.5625,8.5,127.94999999999989,50.70000000000001
2025-05,EXP,13,0,169.0,13,11,0,438.0,6,37,0,269.0,0,37,6,10,18,2,0,7.27027027027027,1.0,53.399999999999885,43.99999999999999
2025-05,IC,1115,0,5609.0,1115,723,0,26638.0,745,3145,0,21029.0,0,3145,245,512,1214,86,0,6.8409238776837995,2.0,43.0,25.0
2025-05,ICN,158,0,2441.0,158,118,0,5378.0,119,595,0,2937.0,0,595,57,88,318,32,0,4.936134453781513,-1.0,65.29999999999995,27.600000000000023
2025-05,IR,1,0,16.0,1,1,0,53.0,0,6,0,37.0,0,6,1,1,5,0,0,6.166666666666667,-2.5,39.5,26.0
2025-05,MET,379,0,8827.0,379,162,0,8356.0,2479,6734,0,-471.0,0,6734,30,99,3551,6,0,-0.0734904041192073,-1.0,5.0,3.0
2025-05,NCL,13,0,199.0,13,12,0,524.0,2,39,0,325.0,0,39,9,11,14,1,0,11.20689655172414,2.0,58.0,54.8
2025-05,REG,37935,0,232377.0,37935,14457,0,648273.0,100797,237919,0,415896.0,0,237919,2990,8603,90575,610,0,1.813708260105448,1.0,11.0,7.0
2025-05,,6700,0,20348.0,6700,4208,0,156716.0,3986,15904,0,136368.0,0,15904,1448,2932,4826,464,0,8.79112944816916,3.0,45.0,28.0
2025-06,EC,461,0,1735.0,461,300,0,11212.0,287,1210,0,9477.0,0,1210,102,216,432,34,0,8.03135593220339,2.0,47.0,26.0
2025-06,EN,59,0,135.0,59,42,0,1955.0,39,115,0,1820.0,0,115,17,32,15,9,0,16.106194690265486,5.0,91.4,47.19999999999997
2025-06,EXP,18,0,118.0,18,14,0,368.0,5,40,0,250.0,0,40,3,12,15,0,0,6.578947368421052,2.5,31.94999999999998,26.200000000000017
2025-06,IC,1434,0,4363.0,1434,980,0,41584.0,703,3071,0,37221.0,0,3071,385,711,911,153,0,12.211614173228346,4.0,59.65000000000009,35.0
2025-06,ICN,158,0,2397.0,158,123,0,5887.0,122,607,0,3490.0,0,607,66,100,327,28,0,5.749588138385502,-1.0,52.39999999999986,31.399999999999974
2025-06,IR,6,0,7.0,6,5,0,231.0,1,9,0,224.0,0,9,3,4,2,2,0,24.88888888888889,11.0,75.19999999999999,70.4
2025-06,MET,368,0,8229.0,368,124,0,8334.0,2640,6666,0,105.0,0,6666,29,72,3490,9,0,0.0161588180978762,-1.0,5.0,3.0
2025-06,NCL,5,0,165.0,5,3,0,188.0,0,9,0,23.0,0,9,2,2,4,1,0,2.555555555555556,5.0,89.39999999999996,51.80000000000002
