giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,nome_partenza,nome_arrivo
2025-09-30,ICN,S00219,S09818,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,-10,-5.0,-5.0,-3.4,-3.2,TORINO PORTA NUOVA,SALERNO
2025-09-30,ICN,S00219,S11145,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,4.0,4.0,4.0,4.0,TORINO PORTA NUOVA,LECCE
2025-09-30,ICN,S00219,S11781,1,1,0,0,0,0,0,1,0,1,1,1,0,0,19,0,19,19.0,19.0,19.0,19.0,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2025-09-30,ICN,S01700,S11145,1,1,0,0,0,0,0,1,0,1,1,1,0,0,22,0,22,22.0,22.0,22.0,22.0,MILANO CENTRALE,LECCE
2025-09-30,ICN,S03317,S08409,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,TRIESTE CENTRALE,ROMA TERMINI
2025-09-30,ICN,S08409,S03317,1,1,0,0,0,0,0,1,0,1,1,0,0,0,14,0,14,14.0,14.0,14.0,14.0,ROMA TERMINI,TRIESTE CENTRALE
2025-09-30,ICN,S09818,S00219,2,2,0,0,0,0,1,1,0,1,1,1,0,0,25,0,25,12.5,12.5,21.7,22.849999999999998,SALERNO,TORINO PORTA NUOVA
2025-09-30,ICN,S11781,S00219,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,REGGIO DI CALABRIA CENTRALE,TORINO PORTA NUOVA
2025-09-30,ICN,S12349,S01700,1,1,0,0,0,0,0,1,0,1,1,1,0,0,17,0,17,17.0,17.0,17.0,17.0,SIRACUSA,MILANO CENTRALE
2025-09-30,ICN,S12349,S08409,2,2,0,0,0,0,1,0,1,0,0,0,0,0,3,2,1,0.5,0.5,2.5,2.75,SIRACUSA,ROMA TERMINI
2025-09-30,REG,S00248,S01645,1,1,0,0,0,0,0,1,0,1,1,0,0,0,10,0,10,10.0,10.0,10.0,10.0,NOVARA,MILANO PORTA GARIBALDI
2025-09-30,REG,S01031,S19919,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,BUSTO ARSIZIO,STABIO
2025-09-30,REG,S01066,S01316,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,8,-8,-4.0,-4.0,-2.4,-2.2,MILANO CADORNA,CAMNAGO-LENTATE
2025-09-30,REG,S01066,S01933,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,MILANO CADORNA,SARONNO
2025-09-30,REG,S01137,S01066,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,BUSTO ARSIZIO NORD,MILANO CADORNA
2025-09-30,REG,S01137,S01642,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,BUSTO ARSIZIO NORD,MILANO BOVISA POLITECNICO
2025-09-30,REG,S01205,S01708,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,VARESE,TREVIGLIO
2025-09-30,REG,S01316,S01066,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,CAMNAGO-LENTATE,MILANO CADORNA
2025-09-30,REG,S01326,S05000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,MILANO GRECO PIRELLI,PIACENZA
2025-09-30,REG,S01631,S00034,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,MILANO PORTA GENOVA,MORTARA
2025-09-30,REG,S01642,S01860,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,MILANO BOVISA POLITECNICO,PAVIA
2025-09-30,REG,S01645,S01301,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,MILANO PORTA GARIBALDI,CHIASSO
2025-09-30,REG,S01645,S05043,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,MILANO PORTA GARIBALDI,BOLOGNA CENTRALE
2025-09-30,REG,S01700,S00219,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,MILANO CENTRALE,TORINO PORTA NUOVA
2025-09-30,REG,S01700,S01520,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,MILANO CENTRALE,LECCO
2025-09-30,REG,S01700,S01529,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,MILANO CENTRALE,BERGAMO
2025-09-30,REG,S01700,S01717,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,MILANO CENTRALE,BRESCIA
2025-09-30,REG,S01700,S02430,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,MILANO CENTRALE,VERONA PORTA NUOVA
2025-09-30,REG,S01703,S00248,2,2,0,0,0,0,1,0,1,0,0,0,0,0,3,1,2,1.0,1.0,2.6,2.8,PIOLTELLO LIMITO,NOVARA
2025-09-30,REG,S01708,S01030,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,2.0,2.0,2.0,2.0,TREVIGLIO,GALLARATE
2025-09-30,REG,S01708,S01205,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,TREVIGLIO,VARESE
2025-09-30,REG,S01708,S01640,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,TREVIGLIO,MILANO CERTOSA
2025-09-30,REG,S01807,S01700,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,VOGHERA,MILANO CENTRALE
2025-09-30,REG,S01860,S01642,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,-4,-2.0,-2.0,-1.2,-1.1,PAVIA,MILANO BOVISA POLITECNICO
2025-09-30,REG,S01933,S01066,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,SARONNO,MILANO CADORNA
2025-09-30,REG,S02026,S02011,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,BOLZANO,FORTEZZA
2025-09-30,REG,S02593,S02581,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,-9,-9.0,-9.0,-9.0,-9.0,VENEZIA S.LUCIA,PADOVA
2025-09-30,REG,S02593,S02832,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,VENEZIA S.LUCIA,BASILIANO
2025-09-30,REG,S02593,S03200,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,VENEZIA S.LUCIA,PORTOGRUARO CAORLE
2025-09-30,REG,S02593,S03310,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,VENEZIA S.LUCIA,MONFALCONE
2025-09-30,REG,S03317,S02593,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,TRIESTE CENTRALE,VENEZIA S.LUCIA
2025-09-30,REG,S04700,S04725,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,GENOVA PIAZZA PRINCIPE,SESTRI LEVANTE
2025-09-30,REG,S04702,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,GENOVA BRIGNOLE,SESTRI LEVANTE
2025-09-30,REG,S04725,S04801,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,SESTRI LEVANTE,SAVONA
2025-09-30,REG,S05043,S05308,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,BOLOGNA CENTRALE,POGGIO RUSCO
2025-09-30,REG,S06000,S04702,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,LA SPEZIA CENTRALE,GENOVA BRIGNOLE
2025-09-30,REG,S06421,S06725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,FIRENZE SANTA MARIA NOVELLA,LIVORNO CENTRALE
2025-09-30,REG,S06421,S06915,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,FIRENZE SANTA MARIA NOVELLA,AREZZO
2025-09-30,REG,S08217,S08640,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,ROMA TIBURTINA,FORMIA-GAETA
2025-09-30,REG,S08409,S06500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,ROMA TERMINI,PISA CENTRALE
2025-09-30,REG,S08409,S07113,1,1,0,0,0,0,0,1,0,1,1,1,0,0,16,0,16,16.0,16.0,16.0,16.0,ROMA TERMINI,ANCONA
2025-09-30,REG,S08409,S08010,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,ROMA TERMINI,CIVITAVECCHIA
2025-09-30,REG,S11119,S11145,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,BARI CENTRALE,LECCE
2025-09-30,REG,S11119,S11465,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,BARI CENTRALE,TARANTO
2025-09-30,REG,S12301,S12332,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-5,-5.0,-5.0,-5.0,-5.0,MESSINA CENTRALE,CATANIA CENTRALE
2025-10-01,EC,S01003,S01700,5,5,0,0,0,0,0,3,2,3,2,1,0,0,36,15,21,4.2,7.0,15.200000000000001,16.599999999999998,DOMODOSSOLA,MILANO CENTRALE
2025-10-01,EC,S01003,S02593,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,DOMODOSSOLA,VENEZIA S.LUCIA
2025-10-01,EC,S01301,S01700,9,9,0,0,0,0,2,1,6,1,1,1,0,0,19,18,1,0.1111111111111111,-3.0,3.8000000000000034,11.399999999999993,CHIASSO,MILANO CENTRALE
2025-10-01,EC,S01301,S02593,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,0,8,8.0,8.0,8.0,8.0,CHIASSO,VENEZIA S.LUCIA
2025-10-01,EC,S01301,S04700,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,CHIASSO,GENOVA PIAZZA PRINCIPE
2025-10-01,EC,S01301,S05043,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,CHIASSO,BOLOGNA CENTRALE
2025-10-01,EC,S01700,S01003,5,5,0,0,0,0,2,1,2,1,1,0,0,0,13,11,2,0.4,1.0,6.800000000000001,8.399999999999999,MILANO CENTRALE,DOMODOSSOLA
2025-10-01,EC,S01700,S01301,9,9,0,0,0,0,2,4,3,4,3,3,0,0,64,10,54,6.0,3.0,16.8,18.4,MILANO CENTRALE,CHIASSO
2025-10-01,EC,S02001,S02026,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,BRENNERO,BOLZANO
2025-10-01,EC,S02001,S02593,2,2,0,0,0,0,1,1,0,1,0,0,0,0,9,0,9,4.5,4.5,7.3,7.6499999999999995,BRENNERO,VENEZIA S.LUCIA
2025-10-01,EC,S02001,S05043,2,2,0,0,0,0,0,2,0,2,2,2,1,0,77,0,77,38.5,38.5,54.9,56.949999999999996,BRENNERO,BOLOGNA CENTRALE
2025-10-01,EC,S02001,S07113,1,1,0,0,0,0,0,1,0,1,1,1,0,0,26,0,26,26.0,26.0,26.0,26.0,BRENNERO,ANCONA
2025-10-01,EC,S02026,S02001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,BOLZANO,BRENNERO
2025-10-01,EC,S02593,S01003,1,1,0,0,0,0,0,1,0,1,1,1,0,0,24,0,24,24.0,24.0,24.0,24.0,VENEZIA S.LUCIA,DOMODOSSOLA
2025-10-01,EC,S02593,S01301,1,1,0,0,0,0,0,1,0,1,1,1,1,0,55,0,55,55.0,55.0,55.0,55.0,VENEZIA S.LUCIA,CHIASSO
2025-10-01,EC,S02593,S02001,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,2.0,2.0,2.8,2.9,VENEZIA S.LUCIA,BRENNERO
2025-10-01,EC,S04700,S01301,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,GENOVA PIAZZA PRINCIPE,CHIASSO
2025-10-01,EC,S05043,S01301,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,BOLOGNA CENTRALE,CHIASSO
2025-10-01,EC,S05043,S02001,2,2,0,0,0,0,0,1,1,1,0,0,0,0,6,3,3,1.5,1.5,5.1000000000000005,5.55,BOLOGNA CENTRALE,BRENNERO
2025-10-01,EC,S07113,S02001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,ANCONA,BRENNERO
2025-10-01,ECFR,S00201,S01700,2,2,0,0,0,0,1,1,0,1,0,0,0,0,9,0,9,4.5,4.5,6.5,6.75,MODANE,MILANO CENTRALE
2025-10-01,EN,S05043,S01645,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,BOLOGNA CENTRALE,MILANO PORTA GARIBALDI
2025-10-01,FA,S04700,S08409,3,3,0,0,0,0,1,2,0,2,2,2,2,0,102,0,102,34.0,42.0,55.6,57.3,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2025-10-01,FA,S05811,S08409,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,RAVENNA,ROMA TERMINI
2025-10-01,FA,S08409,S04700,2,2,0,0,0,0,0,1,1,1,0,0,0,0,5,1,4,2.0,2.0,4.4,4.699999999999999,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2025-10-01,FA,S08409,S05811,1,1,0,0,0,0,0,1,0,1,1,0,0,0,14,0,14,14.0,14.0,14.0,14.0,ROMA TERMINI,RAVENNA
2025-10-01,FA,S08409,S09311,1,1,0,0,0,0,0,1,0,1,1,1,1,0,35,0,35,35.0,35.0,35.0,35.0,ROMA TERMINI,BENEVENTO
2025-10-01,FA,S08409,S11119,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,ROMA TERMINI,BARI CENTRALE
2025-10-01,FA,S08409,S11145,2,2,0,0,0,0,1,0,1,0,0,0,0,0,4,7,-3,-1.5,-1.5,2.9000000000000004,3.4499999999999993,ROMA TERMINI,LECCE
2025-10-01,FA,S08409,S11781,2,2,0,0,0,0,0,1,1,1,1,1,1,0,33,8,25,12.5,12.5,28.900000000000002,30.95,ROMA TERMINI,REGGIO DI CALABRIA CENTRALE
2025-10-01,FA,S09311,S08409,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,BENEVENTO,ROMA TERMINI
2025-10-01,FA,S11119,S08409,1,1,0,0,0,0,0,1,0,1,1,1,0,0,15,0,15,15.0,15.0,15.0,15.0,BARI CENTRALE,ROMA TERMINI
2025-10-01,FA,S11145,S08409,3,3,0,0,0,0,2,1,0,1,1,1,1,1,85,0,85,28.333333333333332,1.0,66.60000000000001,74.8,LECCE,ROMA TERMINI
2025-10-01,FA,S11781,S08409,2,2,0,0,0,0,0,2,0,2,1,0,0,0,16,0,16,8.0,8.0,10.4,10.7,REGGIO DI CALABRIA CENTRALE,ROMA TERMINI
2025-10-01,FB,S01700,S08409,1,1,0,0,0,0,0,1,0,1,1,1,0,0,24,0,24,24.0,24.0,24.0,24.0,MILANO CENTRALE,ROMA TERMINI
2025-10-01,FB,S04700,S08409,3,3,0,0,0,0,0,3,0,3,3,2,2,1,145,0,145,48.333333333333336,59.0,69.4,70.7,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2025-10-01,FB,S08409,S01700,1,1,0,0,0,0,0,1,0,1,1,1,1,0,36,0,36,36.0,36.0,36.0,36.0,ROMA TERMINI,MILANO CENTRALE
2025-10-01,FB,S08409,S04700,3,3,0,0,0,0,1,2,0,2,2,1,0,0,28,0,28,9.333333333333334,10.0,14.8,15.399999999999999,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2025-10-01,FR,S00219,S02593,3,3,0,0,0,0,1,2,0,2,0,0,0,0,18,0,18,6.0,7.0,7.0,7.0,TORINO PORTA NUOVA,VENEZIA S.LUCIA
2025-10-01,FR,S00219,S07004,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,TORINO PORTA NUOVA,PERUGIA
2025-10-01,FR,S00219,S08409,8,8,0,0,0,0,3,3,2,3,2,1,1,0,72,6,66,8.25,3.0,21.799999999999994,34.39999999999998,TORINO PORTA NUOVA,ROMA TERMINI
2025-10-01,FR,S00219,S09218,6,6,0,0,0,0,1,4,1,4,4,4,1,0,89,5,84,14.0,17.0,25.5,27.75,TORINO PORTA NUOVA,NAPOLI CENTRALE
2025-10-01,FR,S00219,S09818,1,1,0,0,0,0,0,1,0,1,1,1,1,1,113,0,113,113.0,113.0,113.0,113.0,TORINO PORTA NUOVA,SALERNO
2025-10-01,FR,S00219,S11145,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,TORINO PORTA NUOVA,LECCE
2025-10-01,FR,S00219,S11781,2,2,0,0,0,0,0,2,0,2,2,2,0,0,48,0,48,24.0,24.0,24.0,24.0,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2025-10-01,FR,S01700,S00219,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,MILANO CENTRALE,TORINO PORTA NUOVA
2025-10-01,FR,S01700,S02026,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,MILANO CENTRALE,BOLZANO
2025-10-01,FR,S01700,S02593,12,12,0,0,0,0,5,5,2,5,2,1,0,0,67,6,61,5.083333333333333,4.0,10.8,13.699999999999996,MILANO CENTRALE,VENEZIA S.LUCIA
2025-10-01,FR,S01700,S03026,2,2,0,0,0,0,1,1,0,1,0,0,0,0,11,0,11,5.5,5.5,7.5,7.75,MILANO CENTRALE,UDINE
2025-10-01,FR,S01700,S03317,3,3,0,0,0,0,0,1,2,1,1,0,0,0,14,7,7,2.3333333333333335,-3.0,10.600000000000001,12.299999999999999,MILANO CENTRALE,TRIESTE CENTRALE
2025-10-01,FR,S01700,S07113,2,2,0,0,0,0,1,1,0,1,0,0,0,0,11,0,11,5.5,5.5,8.3,8.65,MILANO CENTRALE,ANCONA
2025-10-01,FR,S01700,S07810,2,2,0,0,0,0,0,1,1,1,1,0,0,0,13,8,5,2.5,2.5,10.9,11.95,MILANO CENTRALE,PESCARA
2025-10-01,FR,S01700,S08409,8,8,0,0,0,0,2,3,3,3,3,3,2,0,102,13,89,11.125,0.5,37.2,38.599999999999994,MILANO CENTRALE,ROMA TERMINI
2025-10-01,FR,S01700,S09218,12,12,0,0,0,0,2,6,4,6,4,3,2,1,156,13,143,11.916666666666666,4.0,36.50000000000001,51.04999999999998,MILANO CENTRALE,NAPOLI CENTRALE
2025-10-01,FR,S01700,S09818,6,6,0,0,0,0,1,4,1,4,4,3,2,0,125,7,118,19.666666666666668,19.5,42.5,47.25,MILANO CENTRALE,SALERNO
2025-10-01,FR,S01700,S09823,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,MILANO CENTRALE,BATTIPAGLIA
2025-10-01,FR,S01700,S11100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-8,-8.0,-8.0,-8.0,-8.0,MILANO CENTRALE,FOGGIA
2025-10-01,FR,S01700,S11119,2,2,0,0,0,0,0,1,1,1,0,0,0,0,7,6,1,0.5,0.5,5.7,6.35,MILANO CENTRALE,BARI CENTRALE
2025-10-01,FR,S01700,S11145,4,4,0,0,0,0,0,3,1,3,2,1,1,0,60,1,59,14.75,8.5,33.7,38.34999999999999,MILANO CENTRALE,LECCE
2025-10-01,FR,S01700,S11465,1,1,0,0,0,0,0,1,0,1,1,1,1,0,48,0,48,48.0,48.0,48.0,48.0,MILANO CENTRALE,TARANTO
2025-10-01,FR,S01700,S11781,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-8,-8.0,-8.0,-8.0,-8.0,MILANO CENTRALE,REGGIO DI CALABRIA CENTRALE
2025-10-01,FR,S01717,S08409,2,2,0,0,0,0,0,1,1,1,1,1,0,0,17,1,16,8.0,8.0,15.200000000000001,16.099999999999998,BRESCIA,ROMA TERMINI
2025-10-01,FR,S01717,S09218,1,1,0,0,0,0,0,1,0,1,1,1,1,0,37,0,37,37.0,37.0,37.0,37.0,BRESCIA,NAPOLI CENTRALE
2025-10-01,FR,S02026,S01700,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,BOLZANO,MILANO CENTRALE
2025-10-01,FR,S02026,S08409,4,4,0,0,0,0,1,3,0,3,3,1,1,0,61,0,61,15.25,12.5,28.700000000000003,31.849999999999994,BOLZANO,ROMA TERMINI
2025-10-01,FR,S02026,S09218,1,1,0,0,0,0,0,1,0,1,1,1,0,0,25,0,25,25.0,25.0,25.0,25.0,BOLZANO,NAPOLI CENTRALE
2025-10-01,FR,S02026,S11811,1,1,0,0,0,0,0,1,0,1,1,1,1,1,103,0,103,103.0,103.0,103.0,103.0,BOLZANO,SIBARI
2025-10-01,FR,S02336,S08409,1,1,0,0,0,0,0,1,0,1,1,1,0,0,28,0,28,28.0,28.0,28.0,28.0,MANTOVA,ROMA TERMINI
2025-10-01,FR,S02593,S00219,3,3,0,0,0,0,2,1,0,1,1,0,0,0,17,0,17,5.666666666666667,4.0,10.4,11.2,VENEZIA S.LUCIA,TORINO PORTA NUOVA
2025-10-01,FR,S02593,S01700,12,12,0,0,0,0,2,10,0,10,6,2,2,0,141,0,141,11.75,9.0,29.200000000000006,32.8,VENEZIA S.LUCIA,MILANO CENTRALE
2025-10-01,FR,S02593,S04702,1,1,0,0,0,0,0,1,0,1,1,1,0,0,27,0,27,27.0,27.0,27.0,27.0,VENEZIA S.LUCIA,GENOVA BRIGNOLE
2025-10-01,FR,S02593,S08409,5,5,0,0,0,0,1,2,2,2,2,1,1,0,59,8,51,10.2,1.0,32.800000000000004,40.39999999999999,VENEZIA S.LUCIA,ROMA TERMINI
2025-10-01,FR,S02593,S09218,5,5,0,0,0,0,1,4,0,4,4,4,1,1,219,0,219,43.8,24.0,97.20000000000002,120.59999999999998,VENEZIA S.LUCIA,NAPOLI CENTRALE
2025-10-01,FR,S02593,S09818,1,1,0,0,0,0,0,1,0,1,1,1,1,1,60,0,60,60.0,60.0,60.0,60.0,VENEZIA S.LUCIA,SALERNO
2025-10-01,FR,S02593,S11145,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,VENEZIA S.LUCIA,LECCE
2025-10-01,FR,S02593,S11781,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-5,-5.0,-5.0,-5.0,-5.0,VENEZIA S.LUCIA,REGGIO DI CALABRIA CENTRALE
2025-10-01,FR,S03026,S01700,2,2,0,0,0,0,0,2,0,2,0,0,0,0,15,0,15,7.5,7.5,8.7,8.85,UDINE,MILANO CENTRALE
2025-10-01,FR,S03304,S09218,1,1,0,0,0,0,0,1,0,1,1,1,0,0,21,0,21,21.0,21.0,21.0,21.0,GORIZIA CENTRALE,NAPOLI CENTRALE
2025-10-01,FR,S03317,S00219,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,TRIESTE CENTRALE,TORINO PORTA NUOVA
