mese,tipo_giorno,fascia_oraria,categoria,oltre_5,info_mancante,oltre_30,corse_osservate,cancellate,effettuate,in_ritardo,in_orario,in_anticipo,oltre_60,parzialmente_cancellate,minuti_netti_tot,soppresse,cancellate_tot,minuti_anticipo_tot,oltre_10,minuti_ritardo_tot,oltre_15,ritardo_mediano,p90,p95,ritardo_medio
2024-07,infrasettimanale,pomeriggio,EN,17,0,10,17,0,17,17,0,0,5,0,736.0,0,0,0.0,14,736.0,13,31.0,84.20000000000002,113.79999999999998,43.294117647058826
2024-07,infrasettimanale,pomeriggio,EXP,1,0,0,5,0,5,1,0,4,0,0,-51.0,0,0,71.0,1,20.0,1,-12.0,10.000000000000002,14.999999999999996,-10.2
2024-07,infrasettimanale,pomeriggio,IC,314,0,105,464,0,464,314,100,47,41,0,9589.0,0,0,158.0,241,9747.0,190,10.0,56.0,78.0,20.8004338394794
2024-07,infrasettimanale,pomeriggio,ICN,0,0,0,3,0,3,0,2,1,0,0,1.0,0,0,1.0,0,2.0,0,1.0,1.0,1.0,0.3333333333333333
2024-07,infrasettimanale,pomeriggio,IR,0,0,0,1,0,1,0,1,0,0,0,4.0,0,0,0.0,0,4.0,0,4.0,4.0,4.0,4.0
2024-07,infrasettimanale,pomeriggio,MET,91,0,4,1360,0,1360,91,537,689,0,0,200.0,0,0,1389.0,38,1589.0,10,-1.0,3.0,6.0,0.1518602885345482
2024-07,infrasettimanale,pomeriggio,NCL,0,0,0,3,0,3,0,1,2,0,0,-147.0,0,0,149.0,0,2.0,0,-74.0,-13.199999999999996,-5.6000000000000085,-49.0
2024-07,infrasettimanale,pomeriggio,REG,9210,0,728,43477,0,43477,9210,18858,15041,132,0,117277.0,0,0,37336.0,4049,154613.0,2351,1.0,9.0,15.0,2.720476002690853
2024-07,infrasettimanale,pomeriggio,,2012,0,600,2992,0,2992,2012,566,406,202,0,57042.0,0,0,1370.0,1544,58412.0,1240,11.0,48.0,71.45000000000005,19.115951742627345
2024-07,infrasettimanale,sera,EC,40,0,9,66,0,66,40,11,14,2,0,815.0,0,0,42.0,21,857.0,13,6.0,38.8,50.39999999999999,12.538461538461538
2024-07,infrasettimanale,sera,EXP,3,0,0,8,0,8,3,1,4,0,0,-23.0,0,0,53.0,1,30.0,0,-0.5,9.9,10.95,-2.875
2024-07,infrasettimanale,sera,IC,177,0,57,319,0,319,177,65,75,26,0,6476.0,0,0,355.0,130,6831.0,102,6.0,49.400000000000034,92.3999999999998,20.42902208201893
2024-07,infrasettimanale,sera,ICN,100,0,32,187,0,187,100,49,38,15,0,3278.0,0,0,154.0,70,3432.0,50,5.0,47.20000000000002,85.79999999999995,17.529411764705884
2024-07,infrasettimanale,sera,MET,80,0,4,1326,0,1326,80,607,629,1,0,351.0,0,0,1292.0,29,1643.0,15,0.0,3.0,5.0,0.2667173252279635
2024-07,infrasettimanale,sera,NCL,1,0,0,1,0,1,1,0,0,0,0,5.0,0,0,0.0,0,5.0,0,5.0,5.0,5.0,5.0
2024-07,infrasettimanale,sera,REG,7615,0,599,34448,0,34448,7615,14268,12352,91,0,92091.0,0,0,31822.0,3408,123913.0,1959,1.0,9.0,16.0,2.6899664086461224
2024-07,infrasettimanale,sera,,560,0,70,1158,0,1158,560,286,312,4,0,8432.0,0,0,1526.0,368,9958.0,236,4.0,24.200000000000045,34.10000000000002,7.281519861830743
2024-07,infrasettimanale,tarda_mattina,DIR,1,0,1,1,0,1,1,0,0,0,0,38.0,0,0,0.0,1,38.0,1,38.0,38.0,38.0,38.0
2024-07,infrasettimanale,tarda_mattina,EC,89,0,22,171,0,171,89,36,45,7,0,1942.0,0,0,148.0,63,2090.0,41,5.0,35.099999999999994,46.74999999999992,11.423529411764706
2024-07,infrasettimanale,tarda_mattina,EXP,1,0,0,2,0,2,1,0,1,0,0,11.0,0,0,2.0,1,13.0,0,5.5,11.5,12.25,5.5
